year,ccaa,tipo,subtipo,mercancia,ton-km
2017,andalucía,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,31790000.0
2017,andalucía,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,28950000.0
2017,andalucía,transporte intrarregional,intramunicipal,productos petrolíferos,16270000.0
2017,andalucía,transporte intrarregional,intramunicipal,minerales y residuos para refundición,3440000.0
2017,andalucía,transporte intrarregional,intramunicipal,productos metalúrgicos,3730000.0
2017,andalucía,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,295690000.0
2017,andalucía,transporte intrarregional,intramunicipal,abonos,6180000.0
2017,andalucía,transporte intrarregional,intramunicipal,productos químicos,3190000.0
2017,andalucía,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",21650000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,1300760000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,3092480000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,330000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,596940000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,156920000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,154820000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,2342460000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,abonos,268150000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos químicos,347050000.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",1563980000.0
2017,andalucía,transporte interregional,expedido,productos agrícolas y animales vivos,3059070000.0
2017,andalucía,transporte interregional,expedido,productos alimenticios y forrajes,3142140000.0
2017,andalucía,transporte interregional,expedido,combustibles minerales sólidos,2150000.0
2017,andalucía,transporte interregional,expedido,productos petrolíferos,226000000.0
2017,andalucía,transporte interregional,expedido,minerales y residuos para refundición,268060000.0
2017,andalucía,transporte interregional,expedido,productos metalúrgicos,753410000.0
2017,andalucía,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,1222300000.0
2017,andalucía,transporte interregional,expedido,abonos,307930000.0
2017,andalucía,transporte interregional,expedido,productos químicos,668420000.0
2017,andalucía,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",2825870000.0
2017,andalucía,transporte interregional,recibido,productos agrícolas y animales vivos,1497470000.0
2017,andalucía,transporte interregional,recibido,productos alimenticios y forrajes,4388050000.0
2017,andalucía,transporte interregional,recibido,combustibles minerales sólidos,68680000.0
2017,andalucía,transporte interregional,recibido,productos petrolíferos,298030000.0
2017,andalucía,transporte interregional,recibido,minerales y residuos para refundición,86590000.0
2017,andalucía,transporte interregional,recibido,productos metalúrgicos,780180000.0
2017,andalucía,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,1015190000.0
2017,andalucía,transporte interregional,recibido,abonos,340840000.0
2017,andalucía,transporte interregional,recibido,productos químicos,904690000.0
2017,andalucía,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",5132920000.0
2017,andalucía,transporte internacional,expedido,productos agrícolas y animales vivos,5920410000.0
2017,andalucía,transporte internacional,expedido,productos alimenticios y forrajes,391120000.0
2017,andalucía,transporte internacional,expedido,productos petrolíferos,56270000.0
2017,andalucía,transporte internacional,expedido,minerales y residuos para refundición,5800000.0
2017,andalucía,transporte internacional,expedido,productos metalúrgicos,265020000.0
2017,andalucía,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,199150000.0
2017,andalucía,transporte internacional,expedido,abonos,44820000.0
2017,andalucía,transporte internacional,expedido,productos químicos,163860000.0
2017,andalucía,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",838120000.0
2017,andalucía,transporte internacional,recibido,productos agrícolas y animales vivos,390410000.0
2017,andalucía,transporte internacional,recibido,productos alimenticios y forrajes,423820000.0
2017,andalucía,transporte internacional,recibido,productos petrolíferos,76820000.0
2017,andalucía,transporte internacional,recibido,productos metalúrgicos,105070000.0
2017,andalucía,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,41100000.0
2017,andalucía,transporte internacional,recibido,abonos,12610000.0
2017,andalucía,transporte internacional,recibido,productos químicos,262030000.0
2017,andalucía,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",1058700000.0
2017,aragón,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,11430000.0
2017,aragón,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,9400000.0
2017,aragón,transporte intrarregional,intramunicipal,productos petrolíferos,10830000.0
2017,aragón,transporte intrarregional,intramunicipal,minerales y residuos para refundición,680000.0
2017,aragón,transporte intrarregional,intramunicipal,productos metalúrgicos,1260000.0
2017,aragón,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,64550000.0
2017,aragón,transporte intrarregional,intramunicipal,abonos,2180000.0
2017,aragón,transporte intrarregional,intramunicipal,productos químicos,1430000.0
2017,aragón,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",25590000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,267830000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,444900000.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,42700000.0
