Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones)
2017,Andalucía,Transporte Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,31.79
2017,Andalucía,Transporte Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,28.95
2017,Andalucía,Transporte Intrarregional,Intramunicipal,Productos Petrolíferos,16.27
2017,Andalucía,Transporte Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,3.44
2017,Andalucía,Transporte Intrarregional,Intramunicipal,Productos Metalúrgicos,3.73
2017,Andalucía,Transporte Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,295.69
2017,Andalucía,Transporte Intrarregional,Intramunicipal,Abonos,6.18
2017,Andalucía,Transporte Intrarregional,Intramunicipal,Productos Químicos,3.19
2017,Andalucía,Transporte Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",21.65
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Agrícolas Y Animales Vivos,1300.76
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Alimenticios Y Forrajes,3092.48
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,Combustibles Minerales Sólidos,0.33
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Petrolíferos,596.94
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales Y Residuos Para Refundición,156.92
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Metalúrgicos,154.82
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,Minerales En Bruto O Manufacturados Y Materiales De Construcción,2342.46
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,Abonos,268.15
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Químicos,347.05
2017,Andalucía,Transporte Intrarregional,Intermunicipal Intrarregional,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1563.98
2017,Andalucía,Transporte Interregional,Expedido,Productos Agrícolas Y Animales Vivos,3059.07
2017,Andalucía,Transporte Interregional,Expedido,Productos Alimenticios Y Forrajes,3142.14
2017,Andalucía,Transporte Interregional,Expedido,Combustibles Minerales Sólidos,2.15
2017,Andalucía,Transporte Interregional,Expedido,Productos Petrolíferos,226.0
2017,Andalucía,Transporte Interregional,Expedido,Minerales Y Residuos Para Refundición,268.06
2017,Andalucía,Transporte Interregional,Expedido,Productos Metalúrgicos,753.41
2017,Andalucía,Transporte Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1222.3
2017,Andalucía,Transporte Interregional,Expedido,Abonos,307.93
2017,Andalucía,Transporte Interregional,Expedido,Productos Químicos,668.42
2017,Andalucía,Transporte Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2825.87
2017,Andalucía,Transporte Interregional,Recibido,Productos Agrícolas Y Animales Vivos,1497.47
2017,Andalucía,Transporte Interregional,Recibido,Productos Alimenticios Y Forrajes,4388.05
2017,Andalucía,Transporte Interregional,Recibido,Combustibles Minerales Sólidos,68.68
2017,Andalucía,Transporte Interregional,Recibido,Productos Petrolíferos,298.03
2017,Andalucía,Transporte Interregional,Recibido,Minerales Y Residuos Para Refundición,86.59
2017,Andalucía,Transporte Interregional,Recibido,Productos Metalúrgicos,780.18
2017,Andalucía,Transporte Interregional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1015.19
2017,Andalucía,Transporte Interregional,Recibido,Abonos,340.84
2017,Andalucía,Transporte Interregional,Recibido,Productos Químicos,904.69
2017,Andalucía,Transporte Interregional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",5132.92
2017,Andalucía,Transporte Internacional,Expedido,Productos Agrícolas Y Animales Vivos,5920.41
2017,Andalucía,Transporte Internacional,Expedido,Productos Alimenticios Y Forrajes,391.12
2017,Andalucía,Transporte Internacional,Expedido,Productos Petrolíferos,56.27
2017,Andalucía,Transporte Internacional,Expedido,Minerales Y Residuos Para Refundición,5.8
2017,Andalucía,Transporte Internacional,Expedido,Productos Metalúrgicos,265.02
2017,Andalucía,Transporte Internacional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,199.15
2017,Andalucía,Transporte Internacional,Expedido,Abonos,44.82
2017,Andalucía,Transporte Internacional,Expedido,Productos Químicos,163.86
2017,Andalucía,Transporte Internacional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",838.12
2017,Andalucía,Transporte Internacional,Recibido,Productos Agrícolas Y Animales Vivos,390.41
2017,Andalucía,Transporte Internacional,Recibido,Productos Alimenticios Y Forrajes,423.82
2017,Andalucía,Transporte Internacional,Recibido,Productos Petrolíferos,76.82
2017,Andalucía,Transporte Internacional,Recibido,Productos Metalúrgicos,105.07
2017,Andalucía,Transporte Internacional,Recibido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,41.1
2017,Andalucía,Transporte Internacional,Recibido,Abonos,12.61
2017,Andalucía,Transporte Internacional,Recibido,Productos Químicos,262.03
2017,Andalucía,Transporte Internacional,Recibido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1058.7
2017,Aragón,Transporte Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,11.43
2017,Aragón,Transporte Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,9.4
2017,Aragón,Transporte Intrarregional,Intramunicipal,Productos Petrolíferos,10.83
2017,Aragón,Transporte Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,0.68
2017,Aragón,Transporte Intrarregional,Intramunicipal,Productos Metalúrgicos,1.26
2017,Aragón,Transporte Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,64.55
2017,Aragón,Transporte Intrarregional,Intramunicipal,Abonos,2.18
2017,Aragón,Transporte Intrarregional,Intramunicipal,Productos Químicos,1.43
2017,Aragón,Transporte Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",25.59
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Agrícolas Y Animales Vivos,267.83
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Alimenticios Y Forrajes,444.9
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Combustibles Minerales Sólidos,42.7
2017,Aragón,Transporte Intrarregional,Intermunicipal Intrarregional,Productos Petrolíferos,121.09
