vehiculo,bloque_coste,categoria_coste,dimension_coste,partida,unidad,year,valor,valor_eur,unidad_estandarizada
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,amortización del vehículo,eur,2017,"15.616,61",15616.61,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,amortización del vehículo,eur,2018,"15.791,76",15791.76,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,amortización del vehículo,eur,2019,"15.935,36",15935.36,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,amortización del vehículo,eur,2020,"16.073,84",16073.84,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,amortización del vehículo,eur,2021,"16.234,00",16234.0,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,amortización del vehículo,eur,2022,"16.748,16",16748.16,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,amortización del vehículo,eur,2023,"17.326,69",17326.69,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,amortización del vehículo,eur,2024,"17.726,60",17726.6,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,financiación del vehículo,eur,2017,"2.710,22",2710.22,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,financiación del vehículo,eur,2018,"2.464,83",2464.83,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,financiación del vehículo,eur,2019,"2.588,17",2588.17,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,financiación del vehículo,eur,2020,"2.436,11",2436.11,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,financiación del vehículo,eur,2021,"2.521,56",2521.56,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,financiación del vehículo,eur,2022,"3.095,43",3095.43,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,financiación del vehículo,eur,2023,"5.170,22",5170.22,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,financiación del vehículo,eur,2024,"5.311,86",5311.86,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,personal de conducción - salarios,eur,2017,"29.034,38",29034.38,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,personal de conducción - salarios,eur,2018,"29.592,97",29592.97,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,personal de conducción - salarios,eur,2019,"30.051,09",30051.09,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,personal de conducción - salarios,eur,2020,"30.464,97",30464.97,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,personal de conducción - salarios,eur,2021,"31.034,57",31034.57,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,personal de conducción - salarios,eur,2022,"31.481,03",31481.03,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,personal de conducción - salarios,eur,2023,"32.615,33",32615.33,eur/año
vehículo articulado de carga general,costes totales anuales,costes directos,costes por tiempo,personal de conducción - salarios,eur,2024,"34.351,12",34351.12,eur/año
