year,comunidad,tipo_transporte,tipo_desplazamiento,tipo_mercancia,unidad,valor
2017,andalucía,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,millones de toneladas-kilómetro,31.79
2017,andalucía,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,millones de toneladas-kilómetro,28.95
2017,andalucía,transporte intrarregional,intramunicipal,productos petrolíferos,millones de toneladas-kilómetro,16.27
2017,andalucía,transporte intrarregional,intramunicipal,minerales y residuos para refundición,millones de toneladas-kilómetro,3.44
2017,andalucía,transporte intrarregional,intramunicipal,productos metalúrgicos,millones de toneladas-kilómetro,3.73
2017,andalucía,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,295.69
2017,andalucía,transporte intrarregional,intramunicipal,abonos,millones de toneladas-kilómetro,6.18
2017,andalucía,transporte intrarregional,intramunicipal,productos químicos,millones de toneladas-kilómetro,3.19
2017,andalucía,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",millones de toneladas-kilómetro,21.65
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,millones de toneladas-kilómetro,1300.76
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,millones de toneladas-kilómetro,3092.48
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,millones de toneladas-kilómetro,0.33
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,millones de toneladas-kilómetro,596.94
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,millones de toneladas-kilómetro,156.92
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,millones de toneladas-kilómetro,154.82
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,millones de toneladas-kilómetro,2342.46
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,abonos,millones de toneladas-kilómetro,268.15
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos químicos,millones de toneladas-kilómetro,347.05
