year,comunidad,tipo_transporte,tipo_desplazamiento,tipo_mercancia,unidad,valor,valor_toneladas
2017,andalucía,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,miles de toneladas,3372.36,3372360.0
2017,andalucía,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,miles de toneladas,2702.69,2702690.0
2017,andalucía,transporte intrarregional,intramunicipal,productos petrolíferos,miles de toneladas,1343.97,1343970.0
2017,andalucía,transporte intrarregional,intramunicipal,minerales y residuos para refundición,miles de toneladas,747.91,747910.0
2017,andalucía,transporte intrarregional,intramunicipal,productos metalúrgicos,miles de toneladas,368.12,368120.0
2017,andalucía,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,35954.43,35954430.0
2017,andalucía,transporte intrarregional,intramunicipal,abonos,miles de toneladas,1037.9,1037900.0000000001
2017,andalucía,transporte intrarregional,intramunicipal,productos químicos,miles de toneladas,357.38,357380.0
2017,andalucía,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,2335.39,2335390.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,miles de toneladas,13072.05,13072050.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,miles de toneladas,28942.03,28942030.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,miles de toneladas,3.33,3330.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,miles de toneladas,8076.88,8076880.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,miles de toneladas,3042.74,3042740.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,miles de toneladas,1183.3,1183300.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,50020.62,50020620.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,abonos,miles de toneladas,3327.41,3327410.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,productos químicos,miles de toneladas,3107.46,3107460.0
2017,andalucía,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,13591.65,13591650.0
2017,andalucía,transporte interregional,expedido,productos agrícolas y animales vivos,miles de toneladas,5774.33,5774330.0
2017,andalucía,transporte interregional,expedido,productos alimenticios y forrajes,miles de toneladas,6420.29,6420290.0
2017,andalucía,transporte interregional,expedido,combustibles minerales sólidos,miles de toneladas,14.19,14190.0
2017,andalucía,transporte interregional,expedido,productos petrolíferos,miles de toneladas,695.48,695480.0
2017,andalucía,transporte interregional,expedido,minerales y residuos para refundición,miles de toneladas,734.81,734810.0
2017,andalucía,transporte interregional,expedido,productos metalúrgicos,miles de toneladas,1366.49,1366490.0
2017,andalucía,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,3064.26,3064260.0
2017,andalucía,transporte interregional,expedido,abonos,miles de toneladas,800.76,800760.0
2017,andalucía,transporte interregional,expedido,productos químicos,miles de toneladas,1013.45,1013450.0
2017,andalucía,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,5087.43,5087430.0
2017,andalucía,transporte interregional,recibido,productos agrícolas y animales vivos,miles de toneladas,4102.43,4102430.0000000005
2017,andalucía,transporte interregional,recibido,productos alimenticios y forrajes,miles de toneladas,8926.42,8926420.0
2017,andalucía,transporte interregional,recibido,combustibles minerales sólidos,miles de toneladas,258.66,258660.00000000003
2017,andalucía,transporte interregional,recibido,productos petrolíferos,miles de toneladas,903.0,903000.0
2017,andalucía,transporte interregional,recibido,minerales y residuos para refundición,miles de toneladas,139.2,139200.0
2017,andalucía,transporte interregional,recibido,productos metalúrgicos,miles de toneladas,1587.07,1587070.0
2017,andalucía,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,1955.2,1955200.0
2017,andalucía,transporte interregional,recibido,abonos,miles de toneladas,761.99,761990.0
2017,andalucía,transporte interregional,recibido,productos químicos,miles de toneladas,1442.56,1442560.0
2017,andalucía,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,8385.35,8385350.0
2017,andalucía,transporte internacional,expedido,productos agrícolas y animales vivos,miles de toneladas,3371.4,3371400.0
2017,andalucía,transporte internacional,expedido,productos alimenticios y forrajes,miles de toneladas,393.06,393060.0
2017,andalucía,transporte internacional,expedido,productos petrolíferos,miles de toneladas,516.46,516460.00000000006
2017,andalucía,transporte internacional,expedido,minerales y residuos para refundición,miles de toneladas,13.37,13370.0
2017,andalucía,transporte internacional,expedido,productos metalúrgicos,miles de toneladas,145.68,145680.0
2017,andalucía,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,170.62,170620.0
2017,andalucía,transporte internacional,expedido,abonos,miles de toneladas,96.4,96400.0
2017,andalucía,transporte internacional,expedido,productos químicos,miles de toneladas,147.17,147170.0
2017,andalucía,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,562.46,562460.0
2017,andalucía,transporte internacional,recibido,productos agrícolas y animales vivos,miles de toneladas,288.54,288540.0
2017,andalucía,transporte internacional,recibido,productos alimenticios y forrajes,miles de toneladas,368.5,368500.0
2017,andalucía,transporte internacional,recibido,productos petrolíferos,miles de toneladas,39.89,39890.0
2017,andalucía,transporte internacional,recibido,productos metalúrgicos,miles de toneladas,125.71,125710.0
2017,andalucía,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,53.96,53960.0
2017,andalucía,transporte internacional,recibido,abonos,miles de toneladas,10.63,10630.0
2017,andalucía,transporte internacional,recibido,productos químicos,miles de toneladas,159.11,159110.0
2017,andalucía,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,700.67,700670.0
2017,aragón,transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,miles de toneladas,890.68,890680.0
2017,aragón,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,miles de toneladas,799.94,799940.0
2017,aragón,transporte intrarregional,intramunicipal,productos petrolíferos,miles de toneladas,588.24,588240.0
2017,aragón,transporte intrarregional,intramunicipal,minerales y residuos para refundición,miles de toneladas,86.86,86860.0
2017,aragón,transporte intrarregional,intramunicipal,productos metalúrgicos,miles de toneladas,105.51,105510.0
2017,aragón,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,6720.72,6720720.0
2017,aragón,transporte intrarregional,intramunicipal,abonos,miles de toneladas,493.88,493880.0
2017,aragón,transporte intrarregional,intramunicipal,productos químicos,miles de toneladas,79.75,79750.0
2017,aragón,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,2584.9,2584900.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,miles de toneladas,3743.87,3743870.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,miles de toneladas,6440.79,6440790.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,miles de toneladas,1813.23,1813230.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,miles de toneladas,2199.39,2199390.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,miles de toneladas,217.11,217110.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,miles de toneladas,205.65,205650.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,8396.87,8396870.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,abonos,miles de toneladas,435.17,435170.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,productos químicos,miles de toneladas,681.62,681620.0
2017,aragón,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,4460.72,4460720.0
2017,aragón,transporte interregional,expedido,productos agrícolas y animales vivos,miles de toneladas,3589.84,3589840.0
2017,aragón,transporte interregional,expedido,productos alimenticios y forrajes,miles de toneladas,5833.29,5833290.0
2017,aragón,transporte interregional,expedido,productos petrolíferos,miles de toneladas,299.3,299300.0
2017,aragón,transporte interregional,expedido,minerales y residuos para refundición,miles de toneladas,371.13,371130.0
2017,aragón,transporte interregional,expedido,productos metalúrgicos,miles de toneladas,967.87,967870.0
2017,aragón,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,4279.94,4279940.0
2017,aragón,transporte interregional,expedido,abonos,miles de toneladas,554.32,554320.0
2017,aragón,transporte interregional,expedido,productos químicos,miles de toneladas,1125.68,1125680.0
2017,aragón,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,7560.83,7560830.0
2017,aragón,transporte interregional,recibido,productos agrícolas y animales vivos,miles de toneladas,4016.08,4016080.0
2017,aragón,transporte interregional,recibido,productos alimenticios y forrajes,miles de toneladas,6466.55,6466550.0
2017,aragón,transporte interregional,recibido,combustibles minerales sólidos,miles de toneladas,156.47,156470.0
2017,aragón,transporte interregional,recibido,productos petrolíferos,miles de toneladas,654.07,654070.0
2017,aragón,transporte interregional,recibido,minerales y residuos para refundición,miles de toneladas,741.4,741400.0
2017,aragón,transporte interregional,recibido,productos metalúrgicos,miles de toneladas,919.58,919580.0
2017,aragón,transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,1954.23,1954230.0
2017,aragón,transporte interregional,recibido,abonos,miles de toneladas,937.85,937850.0
2017,aragón,transporte interregional,recibido,productos químicos,miles de toneladas,2844.68,2844680.0
2017,aragón,transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,6087.59,6087590.0
2017,aragón,transporte internacional,expedido,productos agrícolas y animales vivos,miles de toneladas,194.76,194760.0
2017,aragón,transporte internacional,expedido,productos alimenticios y forrajes,miles de toneladas,329.94,329940.0
2017,aragón,transporte internacional,expedido,combustibles minerales sólidos,miles de toneladas,11.38,11380.0
2017,aragón,transporte internacional,expedido,minerales y residuos para refundición,miles de toneladas,15.15,15150.0
2017,aragón,transporte internacional,expedido,productos metalúrgicos,miles de toneladas,131.02,131020.00000000001
2017,aragón,transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,240.91,240910.0
2017,aragón,transporte internacional,expedido,abonos,miles de toneladas,36.7,36700.0
2017,aragón,transporte internacional,expedido,productos químicos,miles de toneladas,295.62,295620.0
2017,aragón,transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,919.23,919230.0
2017,aragón,transporte internacional,recibido,productos agrícolas y animales vivos,miles de toneladas,809.87,809870.0
2017,aragón,transporte internacional,recibido,productos alimenticios y forrajes,miles de toneladas,151.44,151440.0
2017,aragón,transporte internacional,recibido,minerales y residuos para refundición,miles de toneladas,82.69,82690.0
2017,aragón,transporte internacional,recibido,productos metalúrgicos,miles de toneladas,34.52,34520.0
2017,aragón,transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,3.66,3660.0
2017,aragón,transporte internacional,recibido,productos químicos,miles de toneladas,594.78,594780.0
2017,aragón,transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,712.28,712280.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos agrícolas y animales vivos,miles de toneladas,623.6,623600.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos alimenticios y forrajes,miles de toneladas,877.01,877010.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,combustibles minerales sólidos,miles de toneladas,1040.05,1040050.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos petrolíferos,miles de toneladas,151.92,151920.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,minerales y residuos para refundición,miles de toneladas,1803.92,1803920.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos metalúrgicos,miles de toneladas,601.4,601400.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,3615.49,3615490.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,abonos,miles de toneladas,15.37,15370.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,productos químicos,miles de toneladas,53.54,53540.0
2017,"asturias, principado de",transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,476.91,476910.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,miles de toneladas,2241.78,2241780.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,miles de toneladas,1804.73,1804730.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,combustibles minerales sólidos,miles de toneladas,2604.87,2604870.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,miles de toneladas,1161.83,1161830.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,miles de toneladas,924.11,924110.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,miles de toneladas,1132.19,1132190.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,6300.81,6300810.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,abonos,miles de toneladas,192.23,192230.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,productos químicos,miles de toneladas,429.71,429710.0
2017,"asturias, principado de",transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,1415.41,1415410.0
2017,"asturias, principado de",transporte interregional,expedido,productos agrícolas y animales vivos,miles de toneladas,937.52,937520.0
2017,"asturias, principado de",transporte interregional,expedido,productos alimenticios y forrajes,miles de toneladas,1299.36,1299360.0
2017,"asturias, principado de",transporte interregional,expedido,combustibles minerales sólidos,miles de toneladas,1180.08,1180080.0
2017,"asturias, principado de",transporte interregional,expedido,productos petrolíferos,miles de toneladas,188.81,188810.0
2017,"asturias, principado de",transporte interregional,expedido,minerales y residuos para refundición,miles de toneladas,340.21,340210.0
2017,"asturias, principado de",transporte interregional,expedido,productos metalúrgicos,miles de toneladas,1197.62,1197620.0
2017,"asturias, principado de",transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,409.36,409360.0
2017,"asturias, principado de",transporte interregional,expedido,abonos,miles de toneladas,431.97,431970.0
2017,"asturias, principado de",transporte interregional,expedido,productos químicos,miles de toneladas,1065.53,1065530.0
2017,"asturias, principado de",transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,924.94,924940.0
2017,"asturias, principado de",transporte interregional,recibido,productos agrícolas y animales vivos,miles de toneladas,1637.23,1637230.0
2017,"asturias, principado de",transporte interregional,recibido,productos alimenticios y forrajes,miles de toneladas,1988.97,1988970.0
2017,"asturias, principado de",transporte interregional,recibido,combustibles minerales sólidos,miles de toneladas,372.71,372710.0
2017,"asturias, principado de",transporte interregional,recibido,productos petrolíferos,miles de toneladas,394.61,394610.0
2017,"asturias, principado de",transporte interregional,recibido,minerales y residuos para refundición,miles de toneladas,281.89,281890.0
2017,"asturias, principado de",transporte interregional,recibido,productos metalúrgicos,miles de toneladas,567.96,567960.0
2017,"asturias, principado de",transporte interregional,recibido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,1546.0,1546000.0
2017,"asturias, principado de",transporte interregional,recibido,abonos,miles de toneladas,60.17,60170.0
2017,"asturias, principado de",transporte interregional,recibido,productos químicos,miles de toneladas,481.4,481400.0
2017,"asturias, principado de",transporte interregional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,1255.82,1255820.0
2017,"asturias, principado de",transporte internacional,expedido,productos alimenticios y forrajes,miles de toneladas,51.62,51620.0
2017,"asturias, principado de",transporte internacional,expedido,combustibles minerales sólidos,miles de toneladas,44.43,44430.0
2017,"asturias, principado de",transporte internacional,expedido,productos metalúrgicos,miles de toneladas,209.69,209690.0
2017,"asturias, principado de",transporte internacional,expedido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,4.84,4840.0
2017,"asturias, principado de",transporte internacional,expedido,abonos,miles de toneladas,15.85,15850.0
2017,"asturias, principado de",transporte internacional,expedido,productos químicos,miles de toneladas,68.24,68240.0
2017,"asturias, principado de",transporte internacional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,92.67,92670.0
2017,"asturias, principado de",transporte internacional,recibido,productos agrícolas y animales vivos,miles de toneladas,72.55,72550.0
2017,"asturias, principado de",transporte internacional,recibido,productos alimenticios y forrajes,miles de toneladas,128.88,128880.0
2017,"asturias, principado de",transporte internacional,recibido,productos metalúrgicos,miles de toneladas,35.23,35230.0
2017,"asturias, principado de",transporte internacional,recibido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,18.36,18360.0
2017,"asturias, principado de",transporte internacional,recibido,productos químicos,miles de toneladas,102.22,102220.0
2017,"asturias, principado de",transporte internacional,recibido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,51.83,51830.0
2017,cantabria,transporte intrarregional,intramunicipal,productos alimenticios y forrajes,miles de toneladas,165.09,165090.0
2017,cantabria,transporte intrarregional,intramunicipal,productos petrolíferos,miles de toneladas,3.67,3670.0
2017,cantabria,transporte intrarregional,intramunicipal,minerales y residuos para refundición,miles de toneladas,415.46,415460.0
2017,cantabria,transporte intrarregional,intramunicipal,productos metalúrgicos,miles de toneladas,430.88,430880.0
2017,cantabria,transporte intrarregional,intramunicipal,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,578.0,578000.0
2017,cantabria,transporte intrarregional,intramunicipal,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,389.8,389800.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos agrícolas y animales vivos,miles de toneladas,477.62,477620.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos alimenticios y forrajes,miles de toneladas,795.75,795750.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos petrolíferos,miles de toneladas,377.97,377970.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,minerales y residuos para refundición,miles de toneladas,346.76,346760.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos metalúrgicos,miles de toneladas,583.67,583670.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,5593.47,5593470.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,abonos,miles de toneladas,18.58,18580.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,productos químicos,miles de toneladas,736.97,736970.0
2017,cantabria,transporte intrarregional,intermunicipal intrarregional,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,979.09,979090.0
2017,cantabria,transporte interregional,expedido,productos agrícolas y animales vivos,miles de toneladas,698.6,698600.0
2017,cantabria,transporte interregional,expedido,productos alimenticios y forrajes,miles de toneladas,1848.49,1848490.0
2017,cantabria,transporte interregional,expedido,combustibles minerales sólidos,miles de toneladas,25.66,25660.0
2017,cantabria,transporte interregional,expedido,productos petrolíferos,miles de toneladas,84.17,84170.0
2017,cantabria,transporte interregional,expedido,minerales y residuos para refundición,miles de toneladas,226.37,226370.0
2017,cantabria,transporte interregional,expedido,productos metalúrgicos,miles de toneladas,575.23,575230.0
2017,cantabria,transporte interregional,expedido,minerales en bruto o manufacturados y materiales de construcción,miles de toneladas,1264.62,1264620.0
2017,cantabria,transporte interregional,expedido,abonos,miles de toneladas,342.45,342450.0
2017,cantabria,transporte interregional,expedido,productos químicos,miles de toneladas,737.99,737990.0
2017,cantabria,transporte interregional,expedido,"máquinas, vehículos, objetos manufacturados y transacciones especiales",miles de toneladas,1612.59,1612590.0
2017,cantabria,transporte interregional,recibido,productos agrícolas y animales vivos,miles de toneladas,368.01,368010.0
2017,cantabria,transporte interregional,recibido,productos alimenticios y forrajes,miles de toneladas,1828.85,1828850.0
2017,cantabria,transporte interregional,recibido,combustibles minerales sólidos,miles de toneladas,95.7,95700.0
2017,cantabria,transporte interregional,recibido,productos petrolíferos,miles de toneladas,248.49,248490.0
2017,cantabria,transporte interregional,recibido,minerales y residuos para refundición,miles de toneladas,476.97,476970.0
2017,cantabria,transporte interregional,recibido,productos metalúrgicos,miles de toneladas,498.71,498710.0
