Año,CCAA,Ámbito,Categoría,Tipo Mercancía,Ton-Km(millones),Toneladas(miles)
2017,Andalucía,Intrarregional,Intramunicipal,Productos Agrícolas Y Animales Vivos,31.79,3372.36
2017,Andalucía,Intrarregional,Intramunicipal,Productos Alimenticios Y Forrajes,28.95,2702.69
2017,Andalucía,Intrarregional,Intramunicipal,Productos Petrolíferos,16.27,1343.97
2017,Andalucía,Intrarregional,Intramunicipal,Minerales Y Residuos Para Refundición,3.44,747.91
2017,Andalucía,Intrarregional,Intramunicipal,Productos Metalúrgicos,3.73,368.12
2017,Andalucía,Intrarregional,Intramunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,295.69,35954.43
2017,Andalucía,Intrarregional,Intramunicipal,Abonos,6.18,1037.9
2017,Andalucía,Intrarregional,Intramunicipal,Productos Químicos,3.19,357.38
2017,Andalucía,Intrarregional,Intramunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",21.65,2335.39
2017,Andalucía,Intrarregional,Intermunicipal,Productos Agrícolas Y Animales Vivos,1300.76,13072.05
2017,Andalucía,Intrarregional,Intermunicipal,Productos Alimenticios Y Forrajes,3092.48,28942.03
2017,Andalucía,Intrarregional,Intermunicipal,Combustibles Minerales Sólidos,0.33,3.33
2017,Andalucía,Intrarregional,Intermunicipal,Productos Petrolíferos,596.94,8076.88
2017,Andalucía,Intrarregional,Intermunicipal,Minerales Y Residuos Para Refundición,156.92,3042.74
2017,Andalucía,Intrarregional,Intermunicipal,Productos Metalúrgicos,154.82,1183.3
2017,Andalucía,Intrarregional,Intermunicipal,Minerales En Bruto O Manufacturados Y Materiales De Construcción,2342.46,50020.62
2017,Andalucía,Intrarregional,Intermunicipal,Abonos,268.15,3327.41
2017,Andalucía,Intrarregional,Intermunicipal,Productos Químicos,347.05,3107.46
2017,Andalucía,Intrarregional,Intermunicipal,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",1563.98,13591.65
2017,Andalucía,Interregional,Expedido,Productos Agrícolas Y Animales Vivos,3059.07,5774.33
2017,Andalucía,Interregional,Expedido,Productos Alimenticios Y Forrajes,3142.14,6420.29
2017,Andalucía,Interregional,Expedido,Combustibles Minerales Sólidos,2.15,14.19
2017,Andalucía,Interregional,Expedido,Productos Petrolíferos,226.0,695.48
2017,Andalucía,Interregional,Expedido,Minerales Y Residuos Para Refundición,268.06,734.81
2017,Andalucía,Interregional,Expedido,Productos Metalúrgicos,753.41,1366.49
2017,Andalucía,Interregional,Expedido,Minerales En Bruto O Manufacturados Y Materiales De Construcción,1222.3,3064.26
2017,Andalucía,Interregional,Expedido,Abonos,307.93,800.76
2017,Andalucía,Interregional,Expedido,Productos Químicos,668.42,1013.45
2017,Andalucía,Interregional,Expedido,"Máquinas, Vehículos, Objetos Manufacturados Y Transacciones Especiales",2825.87,5087.43
2017,Andalucía,Interregional,Recibido,Productos Agrícolas Y Animales Vivos,1497.47,4102.43
2017,Andalucía,Interregional,Recibido,Productos Alimenticios Y Forrajes,4388.05,8926.42
2017,Andalucía,Interregional,Recibido,Combustibles Minerales Sólidos,68.68,258.66
2017,Andalucía,Interregional,Recibido,Productos Petrolíferos,298.03,903.0
