año,ccaa_origen,ccaa_destino,ton-km,toneladas
2017,Andalucía,Andalucía,10234.75,172587.62
2017,Andalucía,Aragón,460.45,555.86
2017,Andalucía,"Asturias, Principado de",127.08,133.82
2017,Andalucía,Cantabria,87.48,102.57
2017,Andalucía,Castilla - La Mancha,1384.1,3513.8
2017,Andalucía,Castilla y León,822.1,1240.55
2017,Andalucía,Cataluña,2185.54,2378.83
2017,Andalucía,Comunitat Valenciana,2544.09,4619.26
2017,Andalucía,Extremadura,975.16,3797.74
2017,Andalucía,Galicia,323.02,334.38
2017,Andalucía,"Madrid, Comunidad de",1651.92,3261.67
2017,Andalucía,"Murcia, Región de",818.42,3503.08
2017,Andalucía,"Navarra, Comunidad Foral de",351.9,435.16
2017,Andalucía,País Vasco,643.15,695.47
2017,Andalucía,"Rioja, La",65.86,73.5
2017,Aragón,Andalucía,568.31,698.68
2017,Aragón,Aragón,1683.06,40944.88
2017,Aragón,"Asturias, Principado de",135.33,221.33
2017,Aragón,Cantabria,61.31,141.84
2017,Aragón,Castilla - La Mancha,335.59,954.75
2017,Aragón,Castilla y León,551.56,1613.77
2017,Aragón,Cataluña,1879.96,8454.69
2017,Aragón,Comunitat Valenciana,1228.76,4698.88
2017,Aragón,Extremadura,112.36,171.41
2017,Aragón,Galicia,281.59,347.03
2017,Aragón,"Madrid, Comunidad de",824.94,2546.92
2017,Aragón,"Murcia, Región de",140.19,256.32
2017,Aragón,"Navarra, Comunidad Foral de",284.41,1901.27
2017,Aragón,País Vasco,499.89,1756.47
2017,Aragón,"Rioja, La",135.42,782.46
2017,"Asturias, Principado de",Andalucía,292.88,322.5
2017,"Asturias, Principado de",Aragón,130.21,197.04
2017,"Asturias, Principado de","Asturias, Principado de",763.94,27466.88
2017,"Asturias, Principado de",Cantabria,131.0,657.08
2017,"Asturias, Principado de",Castilla - La Mancha,68.15,112.16
2017,"Asturias, Principado de",Castilla y León,553.94,2556.41
2017,"Asturias, Principado de",Cataluña,358.0,398.92
2017,"Asturias, Principado de",Comunitat Valenciana,260.66,297.15
2017,"Asturias, Principado de",Extremadura,23.34,41.27
2017,"Asturias, Principado de",Galicia,330.19,1639.33
2017,"Asturias, Principado de","Madrid, Comunidad de",160.51,317.46
2017,"Asturias, Principado de","Murcia, Región de",78.4,87.65
2017,"Asturias, Principado de","Navarra, Comunidad Foral de",113.45,255.63
2017,"Asturias, Principado de",País Vasco,322.07,974.52
2017,"Asturias, Principado de","Rioja, La",50.76,105.37
2017,Cantabria,Andalucía,81.51,90.17
2017,Cantabria,Aragón,93.65,230.01
2017,Cantabria,"Asturias, Principado de",120.43,600.75
2017,Cantabria,Cantabria,271.09,11892.76
2017,Cantabria,Castilla - La Mancha,169.78,372.29
2017,Cantabria,Castilla y León,409.98,1688.39
2017,Cantabria,Cataluña,339.89,485.79
2017,Cantabria,Comunitat Valenciana,108.21,139.97
2017,Cantabria,Extremadura,22.0,31.87
2017,Cantabria,Galicia,96.07,212.76
2017,Cantabria,"Madrid, Comunidad de",192.88,432.72
2017,Cantabria,"Murcia, Región de",20.91,24.34
2017,Cantabria,"Navarra, Comunidad Foral de",55.3,206.88
2017,Cantabria,País Vasco,295.53,2762.54
2017,Cantabria,"Rioja, La",32.3,137.68
2017,Castilla - La Mancha,Andalucía,2241.83,5880.69
2017,Castilla - La Mancha,Aragón,390.12,1225.67
2017,Castilla - La Mancha,"Asturias, Principado de",132.15,228.66
2017,Castilla - La Mancha,Cantabria,125.08,244.42
2017,Castilla - La Mancha,Castilla - La Mancha,2506.6,41336.71
2017,Castilla - La Mancha,Castilla y León,716.08,2594.44
2017,Castilla - La Mancha,Cataluña,1195.55,1953.52
2017,Castilla - La Mancha,Comunitat Valenciana,2163.2,8399.61
2017,Castilla - La Mancha,Extremadura,431.35,1498.88
2017,Castilla - La Mancha,Galicia,388.19,567.09
2017,Castilla - La Mancha,"Madrid, Comunidad de",1237.73,14430.24
2017,Castilla - La Mancha,"Murcia, Región de",715.2,2630.05
2017,Castilla - La Mancha,"Navarra, Comunidad Foral de",195.93,429.05
2017,Castilla - La Mancha,País Vasco,456.85,889.53
2017,Castilla - La Mancha,"Rioja, La",57.18,145.04
2017,Castilla y León,Andalucía,1157.37,1724.62
2017,Castilla y León,Aragón,530.46,1689.51
2017,Castilla y León,"Asturias, Principado de",494.92,2320.63
2017,Castilla y León,Cantabria,389.56,2708.72
2017,Castilla y León,Castilla - La Mancha,750.59,2561.85
2017,Castilla y León,Castilla y León,3892.46,75725.78
2017,Castilla y León,Cataluña,1470.54,2398.86
2017,Castilla y León,Comunitat Valenciana,1517.24,2625.99
2017,Castilla y León,Extremadura,313.76,1077.91
2017,Castilla y León,Galicia,1193.45,3669.02
2017,Castilla y León,"Madrid, Comunidad de",1034.32,5769.02
2017,Castilla y León,"Murcia, Región de",253.59,404.41
2017,Castilla y León,"Navarra, Comunidad Foral de",317.81,1500.07
2017,Castilla y León,País Vasco,1141.12,5272.54
2017,Castilla y León,"Rioja, La",157.35,1069.76
2017,Cataluña,Andalucía,2554.75,2693.93
2017,Cataluña,Aragón,1974.41,9656.39
2017,Cataluña,"Asturias, Principado de",279.48,320.18
2017,Cataluña,Cantabria,204.15,289.59
2017,Cataluña,Castilla - La Mancha,1151.26,1918.58
2017,Cataluña,Castilla y León,1371.03,2188.16
2017,Cataluña,Cataluña,7940.4,171329.81
2017,Cataluña,Comunitat Valenciana,2412.42,7879.34
2017,Cataluña,Extremadura,232.26,239.11
2017,Cataluña,Galicia,910.51,853.12
2017,Cataluña,"Madrid, Comunidad de",2005.49,3290.3
2017,Cataluña,"Murcia, Región de",563.99,975.59
2017,Cataluña,"Navarra, Comunidad Foral de",555.2,1309.99
2017,Cataluña,País Vasco,1257.92,2216.78
2017,Cataluña,"Rioja, La",258.44,556.11
2017,Comunitat Valenciana,Andalucía,2090.95,3872.13
2017,Comunitat Valenciana,Aragón,827.4,3136.2
2017,Comunitat Valenciana,"Asturias, Principado de",110.86,127.09
2017,Comunitat Valenciana,Cantabria,125.2,172.53
2017,Comunitat Valenciana,Castilla - La Mancha,1823.65,7556.82
2017,Comunitat Valenciana,Castilla y León,1110.73,1860.08
2017,Comunitat Valenciana,Cataluña,2181.22,6306.65
2017,Comunitat Valenciana,Comunitat Valenciana,5722.79,146788.37
2017,Comunitat Valenciana,Extremadura,178.17,271.33
2017,Comunitat Valenciana,Galicia,594.17,602.45
2017,Comunitat Valenciana,"Madrid, Comunidad de",1880.25,5035.12
2017,Comunitat Valenciana,"Murcia, Región de",1066.4,6807.7
2017,Comunitat Valenciana,"Navarra, Comunidad Foral de",226.75,477.08
2017,Comunitat Valenciana,País Vasco,543.86,845.47
2017,Comunitat Valenciana,"Rioja, La",97.12,199.91
2017,Extremadura,Andalucía,704.19,2750.44
2017,Extremadura,Aragón,85.86,132.35
2017,Extremadura,"Asturias, Principado de",6.64,13.97
2017,Extremadura,Cantabria,13.33,20.47
2017,Extremadura,Castilla - La Mancha,227.66,823.17
2017,Extremadura,Castilla y León,233.61,690.03
2017,Extremadura,Cataluña,305.96,323.59
2017,Extremadura,Comunitat Valenciana,230.08,392.18
2017,Extremadura,Extremadura,705.81,16986.63
2017,Extremadura,Galicia,45.49,66.66
2017,Extremadura,"Madrid, Comunidad de",375.91,1105.83
2017,Extremadura,"Murcia, Región de",104.12,177.13
2017,Extremadura,"Navarra, Comunidad Foral de",53.26,77.29
2017,Extremadura,País Vasco,115.32,152.44
2017,Extremadura,"Rioja, La",31.02,41.62
2017,Galicia,Andalucía,516.39,546.79
2017,Galicia,Aragón,326.0,404.89
2017,Galicia,"Asturias, Principado de",471.43,3116.96
2017,Galicia,Cantabria,176.79,415.58
2017,Galicia,Castilla - La Mancha,393.98,586.89
2017,Galicia,Castilla y León,1034.52,3325.63
2017,Galicia,Cataluña,922.67,867.37
2017,Galicia,Comunitat Valenciana,436.94,455.45
2017,Galicia,Extremadura,64.34,92.15
2017,Galicia,Galicia,3950.12,80291.02
2017,Galicia,"Madrid, Comunidad de",908.51,1555.27
2017,Galicia,"Murcia, Región de",133.87,129.06
2017,Galicia,"Navarra, Comunidad Foral de",135.45,190.36
2017,Galicia,País Vasco,957.71,1661.86
2017,Galicia,"Rioja, La",38.25,62.36
2017,"Madrid, Comunidad de",Andalucía,1991.15,3817.15
2017,"Madrid, Comunidad de",Aragón,587.26,1801.0
2017,"Madrid, Comunidad de","Asturias, Principado de",216.43,445.18
2017,"Madrid, Comunidad de",Cantabria,138.85,315.88
2017,"Madrid, Comunidad de",Castilla - La Mancha,884.15,9468.2
2017,"Madrid, Comunidad de",Castilla y León,697.83,3450.69
2017,"Madrid, Comunidad de",Cataluña,1561.74,2532.23
2017,"Madrid, Comunidad de",Comunitat Valenciana,1436.03,3805.47
2017,"Madrid, Comunidad de",Extremadura,341.95,1101.61
2017,"Madrid, Comunidad de",Galicia,832.65,1378.02
2017,"Madrid, Comunidad de","Madrid, Comunidad de",1430.46,57467.92
2017,"Madrid, Comunidad de","Murcia, Región de",339.72,827.27
2017,"Madrid, Comunidad de","Navarra, Comunidad Foral de",171.85,430.97
2017,"Madrid, Comunidad de",País Vasco,706.6,1642.39
2017,"Madrid, Comunidad de","Rioja, La",47.81,125.4
2017,"Murcia, Región de",Andalucía,1150.34,4649.42
2017,"Murcia, Región de",Aragón,146.82,260.57
2017,"Murcia, Región de","Asturias, Principado de",46.03,53.38
2017,"Murcia, Región de",Cantabria,3.63,4.27
2017,"Murcia, Región de",Castilla - La Mancha,735.97,2585.02
2017,"Murcia, Región de",Castilla y León,164.65,257.48
2017,"Murcia, Región de",Cataluña,614.33,975.4
2017,"Murcia, Región de",Comunitat Valenciana,1313.75,9853.45
2017,"Murcia, Región de",Extremadura,49.96,84.31
2017,"Murcia, Región de",Galicia,147.07,143.76
2017,"Murcia, Región de","Madrid, Comunidad de",475.25,1140.94
2017,"Murcia, Región de","Murcia, Región de",1050.15,33657.6
2017,"Murcia, Región de","Navarra, Comunidad Foral de",124.21,190.01
2017,"Murcia, Región de",País Vasco,95.74,120.78
2017,"Murcia, Región de","Rioja, La",104.55,151.17
2017,"Navarra, Comunidad Foral de",Andalucía,344.51,411.15
2017,"Navarra, Comunidad Foral de",Aragón,340.63,2255.91
