año,comunidad_origen,comunidad_destino,valor
2017,Andalucía,Andalucía,10234.75
2017,Andalucía,Aragón,460.45
2017,Andalucía,"Asturias, Principado de",127.08
2017,Andalucía,Cantabria,87.48
2017,Andalucía,Castilla - La Mancha,1384.1
2017,Andalucía,Castilla y León,822.1
2017,Andalucía,Cataluña,2185.54
2017,Andalucía,Comunitat Valenciana,2544.09
2017,Andalucía,Extremadura,975.16
2017,Andalucía,Galicia,323.02
2017,Andalucía,"Madrid, Comunidad de",1651.92
2017,Andalucía,"Murcia, Región de",818.42
2017,Andalucía,"Navarra, Comunidad Foral de",351.9
2017,Andalucía,País Vasco,643.15
2017,Andalucía,"Rioja, La",65.86
2017,Aragón,Andalucía,568.31
2017,Aragón,Aragón,1683.06
2017,Aragón,"Asturias, Principado de",135.33
2017,Aragón,Cantabria,61.31
2017,Aragón,Castilla - La Mancha,335.59
2017,Aragón,Castilla y León,551.56
2017,Aragón,Cataluña,1879.96
2017,Aragón,Comunitat Valenciana,1228.76
2017,Aragón,Extremadura,112.36
2017,Aragón,Galicia,281.59
2017,Aragón,"Madrid, Comunidad de",824.94
2017,Aragón,"Murcia, Región de",140.19
2017,Aragón,"Navarra, Comunidad Foral de",284.41
2017,Aragón,País Vasco,499.89
2017,Aragón,"Rioja, La",135.42
2017,"Asturias, Principado de",Andalucía,292.88
2017,"Asturias, Principado de",Aragón,130.21
2017,"Asturias, Principado de","Asturias, Principado de",763.94
2017,"Asturias, Principado de",Cantabria,131.0
2017,"Asturias, Principado de",Castilla - La Mancha,68.15
2017,"Asturias, Principado de",Castilla y León,553.94
2017,"Asturias, Principado de",Cataluña,358.0
2017,"Asturias, Principado de",Comunitat Valenciana,260.66
2017,"Asturias, Principado de",Extremadura,23.34
2017,"Asturias, Principado de",Galicia,330.19
2017,"Asturias, Principado de","Madrid, Comunidad de",160.51
2017,"Asturias, Principado de","Murcia, Región de",78.4
2017,"Asturias, Principado de","Navarra, Comunidad Foral de",113.45
2017,"Asturias, Principado de",País Vasco,322.07
2017,"Asturias, Principado de","Rioja, La",50.76
2017,Cantabria,Andalucía,81.51
2017,Cantabria,Aragón,93.65
2017,Cantabria,"Asturias, Principado de",120.43
2017,Cantabria,Cantabria,271.09
2017,Cantabria,Castilla - La Mancha,169.78
2017,Cantabria,Castilla y León,409.98
2017,Cantabria,Cataluña,339.89
2017,Cantabria,Comunitat Valenciana,108.21
2017,Cantabria,Extremadura,22.0
2017,Cantabria,Galicia,96.07
2017,Cantabria,"Madrid, Comunidad de",192.88
2017,Cantabria,"Murcia, Región de",20.91
2017,Cantabria,"Navarra, Comunidad Foral de",55.3
2017,Cantabria,País Vasco,295.53
2017,Cantabria,"Rioja, La",32.3
2017,Castilla - La Mancha,Andalucía,2241.83
2017,Castilla - La Mancha,Aragón,390.12
2017,Castilla - La Mancha,"Asturias, Principado de",132.15
2017,Castilla - La Mancha,Cantabria,125.08
2017,Castilla - La Mancha,Castilla - La Mancha,2506.6
2017,Castilla - La Mancha,Castilla y León,716.08
2017,Castilla - La Mancha,Cataluña,1195.55
2017,Castilla - La Mancha,Comunitat Valenciana,2163.2
2017,Castilla - La Mancha,Extremadura,431.35
2017,Castilla - La Mancha,Galicia,388.19
2017,Castilla - La Mancha,"Madrid, Comunidad de",1237.73
2017,Castilla - La Mancha,"Murcia, Región de",715.2
2017,Castilla - La Mancha,"Navarra, Comunidad Foral de",195.93
2017,Castilla - La Mancha,País Vasco,456.85
2017,Castilla - La Mancha,"Rioja, La",57.18
2017,Castilla y León,Andalucía,1157.37
2017,Castilla y León,Aragón,530.46
2017,Castilla y León,"Asturias, Principado de",494.92
2017,Castilla y León,Cantabria,389.56
2017,Castilla y León,Castilla - La Mancha,750.59
2017,Castilla y León,Castilla y León,3892.46
2017,Castilla y León,Cataluña,1470.54
2017,Castilla y León,Comunitat Valenciana,1517.24
2017,Castilla y León,Extremadura,313.76
2017,Castilla y León,Galicia,1193.45
2017,Castilla y León,"Madrid, Comunidad de",1034.32
2017,Castilla y León,"Murcia, Región de",253.59
2017,Castilla y León,"Navarra, Comunidad Foral de",317.81
2017,Castilla y León,País Vasco,1141.12
2017,Castilla y León,"Rioja, La",157.35
2017,Cataluña,Andalucía,2554.75
2017,Cataluña,Aragón,1974.41
2017,Cataluña,"Asturias, Principado de",279.48
2017,Cataluña,Cantabria,204.15
2017,Cataluña,Castilla - La Mancha,1151.26
2017,Cataluña,Castilla y León,1371.03
2017,Cataluña,Cataluña,7940.4
2017,Cataluña,Comunitat Valenciana,2412.42
2017,Cataluña,Extremadura,232.26
2017,Cataluña,Galicia,910.51
2017,Cataluña,"Madrid, Comunidad de",2005.49
2017,Cataluña,"Murcia, Región de",563.99
2017,Cataluña,"Navarra, Comunidad Foral de",555.2
2017,Cataluña,País Vasco,1257.92
2017,Cataluña,"Rioja, La",258.44
2017,Comunitat Valenciana,Andalucía,2090.95
2017,Comunitat Valenciana,Aragón,827.4
2017,Comunitat Valenciana,"Asturias, Principado de",110.86
2017,Comunitat Valenciana,Cantabria,125.2
2017,Comunitat Valenciana,Castilla - La Mancha,1823.65
2017,Comunitat Valenciana,Castilla y León,1110.73
2017,Comunitat Valenciana,Cataluña,2181.22
2017,Comunitat Valenciana,Comunitat Valenciana,5722.79
2017,Comunitat Valenciana,Extremadura,178.17
2017,Comunitat Valenciana,Galicia,594.17
2017,Comunitat Valenciana,"Madrid, Comunidad de",1880.25
2017,Comunitat Valenciana,"Murcia, Región de",1066.4
2017,Comunitat Valenciana,"Navarra, Comunidad Foral de",226.75
2017,Comunitat Valenciana,País Vasco,543.86
2017,Comunitat Valenciana,"Rioja, La",97.12
2017,Extremadura,Andalucía,704.19
2017,Extremadura,Aragón,85.86
2017,Extremadura,"Asturias, Principado de",6.64
2017,Extremadura,Cantabria,13.33
2017,Extremadura,Castilla - La Mancha,227.66
2017,Extremadura,Castilla y León,233.61
2017,Extremadura,Cataluña,305.96
2017,Extremadura,Comunitat Valenciana,230.08
2017,Extremadura,Extremadura,705.81
2017,Extremadura,Galicia,45.49
2017,Extremadura,"Madrid, Comunidad de",375.91
2017,Extremadura,"Murcia, Región de",104.12
2017,Extremadura,"Navarra, Comunidad Foral de",53.26
2017,Extremadura,País Vasco,115.32
2017,Extremadura,"Rioja, La",31.02
2017,Galicia,Andalucía,516.39
2017,Galicia,Aragón,326.0
2017,Galicia,"Asturias, Principado de",471.43
2017,Galicia,Cantabria,176.79
2017,Galicia,Castilla - La Mancha,393.98
2017,Galicia,Castilla y León,1034.52
2017,Galicia,Cataluña,922.67
2017,Galicia,Comunitat Valenciana,436.94
2017,Galicia,Extremadura,64.34
2017,Galicia,Galicia,3950.12
2017,Galicia,"Madrid, Comunidad de",908.51
