año,comunidad_origen,comunidad_destino,valor
2017,Andalucía,Andalucía,172587.62
2017,Andalucía,Aragón,555.86
2017,Andalucía,"Asturias, Principado de",133.82
2017,Andalucía,Cantabria,102.57
2017,Andalucía,Castilla - La Mancha,3513.8
2017,Andalucía,Castilla y León,1240.55
2017,Andalucía,Cataluña,2378.83
2017,Andalucía,Comunitat Valenciana,4619.26
2017,Andalucía,Extremadura,3797.74
2017,Andalucía,Galicia,334.38
2017,Andalucía,"Madrid, Comunidad de",3261.67
2017,Andalucía,"Murcia, Región de",3503.08
2017,Andalucía,"Navarra, Comunidad Foral de",435.16
2017,Andalucía,País Vasco,695.47
2017,Andalucía,"Rioja, La",73.5
2017,Aragón,Andalucía,698.68
2017,Aragón,Aragón,40944.88
2017,Aragón,"Asturias, Principado de",221.33
2017,Aragón,Cantabria,141.84
2017,Aragón,Castilla - La Mancha,954.75
2017,Aragón,Castilla y León,1613.77
2017,Aragón,Cataluña,8454.69
2017,Aragón,Comunitat Valenciana,4698.88
2017,Aragón,Extremadura,171.41
2017,Aragón,Galicia,347.03
2017,Aragón,"Madrid, Comunidad de",2546.92
2017,Aragón,"Murcia, Región de",256.32
2017,Aragón,"Navarra, Comunidad Foral de",1901.27
2017,Aragón,País Vasco,1756.47
2017,Aragón,"Rioja, La",782.46
2017,"Asturias, Principado de",Andalucía,322.5
2017,"Asturias, Principado de",Aragón,197.04
2017,"Asturias, Principado de","Asturias, Principado de",27466.88
2017,"Asturias, Principado de",Cantabria,657.08
2017,"Asturias, Principado de",Castilla - La Mancha,112.16
2017,"Asturias, Principado de",Castilla y León,2556.41
2017,"Asturias, Principado de",Cataluña,398.92
2017,"Asturias, Principado de",Comunitat Valenciana,297.15
2017,"Asturias, Principado de",Extremadura,41.27
2017,"Asturias, Principado de",Galicia,1639.33
2017,"Asturias, Principado de","Madrid, Comunidad de",317.46
2017,"Asturias, Principado de","Murcia, Región de",87.65
2017,"Asturias, Principado de","Navarra, Comunidad Foral de",255.63
2017,"Asturias, Principado de",País Vasco,974.52
2017,"Asturias, Principado de","Rioja, La",105.37
2017,Cantabria,Andalucía,90.17
2017,Cantabria,Aragón,230.01
2017,Cantabria,"Asturias, Principado de",600.75
2017,Cantabria,Cantabria,11892.76
2017,Cantabria,Castilla - La Mancha,372.29
2017,Cantabria,Castilla y León,1688.39
2017,Cantabria,Cataluña,485.79
2017,Cantabria,Comunitat Valenciana,139.97
2017,Cantabria,Extremadura,31.87
2017,Cantabria,Galicia,212.76
2017,Cantabria,"Madrid, Comunidad de",432.72
2017,Cantabria,"Murcia, Región de",24.34
2017,Cantabria,"Navarra, Comunidad Foral de",206.88
2017,Cantabria,País Vasco,2762.54
2017,Cantabria,"Rioja, La",137.68
2017,Castilla - La Mancha,Andalucía,5880.69
2017,Castilla - La Mancha,Aragón,1225.67
2017,Castilla - La Mancha,"Asturias, Principado de",228.66
2017,Castilla - La Mancha,Cantabria,244.42
2017,Castilla - La Mancha,Castilla - La Mancha,41336.71
2017,Castilla - La Mancha,Castilla y León,2594.44
2017,Castilla - La Mancha,Cataluña,1953.52
2017,Castilla - La Mancha,Comunitat Valenciana,8399.61
2017,Castilla - La Mancha,Extremadura,1498.88
2017,Castilla - La Mancha,Galicia,567.09
2017,Castilla - La Mancha,"Madrid, Comunidad de",14430.24
2017,Castilla - La Mancha,"Murcia, Región de",2630.05
2017,Castilla - La Mancha,"Navarra, Comunidad Foral de",429.05
2017,Castilla - La Mancha,País Vasco,889.53
2017,Castilla - La Mancha,"Rioja, La",145.04
2017,Castilla y León,Andalucía,1724.62
2017,Castilla y León,Aragón,1689.51
2017,Castilla y León,"Asturias, Principado de",2320.63
2017,Castilla y León,Cantabria,2708.72
2017,Castilla y León,Castilla - La Mancha,2561.85
2017,Castilla y León,Castilla y León,75725.78
2017,Castilla y León,Cataluña,2398.86
2017,Castilla y León,Comunitat Valenciana,2625.99
2017,Castilla y León,Extremadura,1077.91
2017,Castilla y León,Galicia,3669.02
2017,Castilla y León,"Madrid, Comunidad de",5769.02
2017,Castilla y León,"Murcia, Región de",404.41
2017,Castilla y León,"Navarra, Comunidad Foral de",1500.07
2017,Castilla y León,País Vasco,5272.54
2017,Castilla y León,"Rioja, La",1069.76
2017,Cataluña,Andalucía,2693.93
2017,Cataluña,Aragón,9656.39
2017,Cataluña,"Asturias, Principado de",320.18
2017,Cataluña,Cantabria,289.59
2017,Cataluña,Castilla - La Mancha,1918.58
2017,Cataluña,Castilla y León,2188.16
2017,Cataluña,Cataluña,171329.81
2017,Cataluña,Comunitat Valenciana,7879.34
2017,Cataluña,Extremadura,239.11
2017,Cataluña,Galicia,853.12
2017,Cataluña,"Madrid, Comunidad de",3290.3
2017,Cataluña,"Murcia, Región de",975.59
2017,Cataluña,"Navarra, Comunidad Foral de",1309.99
2017,Cataluña,País Vasco,2216.78
2017,Cataluña,"Rioja, La",556.11
2017,Comunitat Valenciana,Andalucía,3872.13
2017,Comunitat Valenciana,Aragón,3136.2
2017,Comunitat Valenciana,"Asturias, Principado de",127.09
