CCAA,Año,Ámbito,Categoría,Operaciones Vacío,% Vacío
Andalucía,2017,Intrarregional,Intramunicipal,,46.95
Andalucía,2017,Intrarregional,Intermunicipal,,46.53
Andalucía,2017,Interregional,Expedido,,27.9
Andalucía,2017,Interregional,Recibido,,17.22
Andalucía,2017,Internacional,Expedido,,4.67
Andalucía,2017,Internacional,Recibido,,30.62
Andalucía,2018,Intrarregional,Intramunicipal,,46.32
Andalucía,2018,Intrarregional,Intermunicipal,,45.93
Andalucía,2018,Interregional,Expedido,,28.46
Andalucía,2018,Interregional,Recibido,,14.38
Andalucía,2018,Internacional,Expedido,,6.4
Andalucía,2018,Internacional,Recibido,,27.09
Andalucía,2019,Intrarregional,Intramunicipal,,47.07
Andalucía,2019,Intrarregional,Intermunicipal,,46.58
Andalucía,2019,Interregional,Expedido,,25.15
Andalucía,2019,Interregional,Recibido,,17.17
Andalucía,2019,Internacional,Expedido,,7.56
Andalucía,2019,Internacional,Recibido,,21.25
Andalucía,2020,Intrarregional,Intramunicipal,,46.93
Andalucía,2020,Intrarregional,Intermunicipal,,46.41
Andalucía,2020,Interregional,Expedido,,22.72
Andalucía,2020,Interregional,Recibido,,18.38
Andalucía,2020,Internacional,Expedido,,5.63
Andalucía,2020,Internacional,Recibido,,20.62
Andalucía,2021,Intrarregional,Intramunicipal,,46.11
Andalucía,2021,Intrarregional,Intermunicipal,,46.58
Andalucía,2021,Interregional,Expedido,,23.38
Andalucía,2021,Interregional,Recibido,,17.11
Andalucía,2021,Internacional,Expedido,,6.64
Andalucía,2021,Internacional,Recibido,,27.59
Andalucía,2022,Intrarregional,Intramunicipal,,46.16
Andalucía,2022,Intrarregional,Intermunicipal,,46.41
Andalucía,2022,Interregional,Expedido,,24.22
Andalucía,2022,Interregional,Recibido,,16.82
Andalucía,2022,Internacional,Expedido,,7.45
Andalucía,2022,Internacional,Recibido,,30.75
Andalucía,2023,Intrarregional,Intramunicipal,,45.51
Andalucía,2023,Intrarregional,Intermunicipal,,47.55
Andalucía,2023,Interregional,Expedido,,23.37
Andalucía,2023,Interregional,Recibido,,17.68
Andalucía,2023,Internacional,Expedido,,7.62
Andalucía,2023,Internacional,Recibido,,29.81
Andalucía,2024,Intrarregional,Intramunicipal,,47.65
Andalucía,2024,Intrarregional,Intermunicipal,,47.38
Andalucía,2024,Interregional,Expedido,,24.35
Andalucía,2024,Interregional,Recibido,,17.37
Andalucía,2024,Internacional,Expedido,,6.51
Andalucía,2024,Internacional,Recibido,,31.5
Andalucía,2017,Intrarregional,Intramunicipal,,46.95
Andalucía,2017,Intrarregional,Intermunicipal,,46.53
Andalucía,2017,Interregional,Expedido,,27.9
Andalucía,2017,Interregional,Recibido,,17.22
Andalucía,2017,Internacional,Expedido,,4.67
Andalucía,2017,Internacional,Recibido,,30.62
Andalucía,2018,Intrarregional,Intramunicipal,,46.32
Andalucía,2018,Intrarregional,Intermunicipal,,45.93
Andalucía,2018,Interregional,Expedido,,28.46
Andalucía,2018,Interregional,Recibido,,14.38
Andalucía,2018,Internacional,Expedido,,6.4
Andalucía,2018,Internacional,Recibido,,27.09
Andalucía,2019,Intrarregional,Intramunicipal,,47.07
Andalucía,2019,Intrarregional,Intermunicipal,,46.58
Andalucía,2019,Interregional,Expedido,,25.15
Andalucía,2019,Interregional,Recibido,,17.17
Andalucía,2019,Internacional,Expedido,,7.56
Andalucía,2019,Internacional,Recibido,,21.25
Andalucía,2020,Intrarregional,Intramunicipal,,46.93
Andalucía,2020,Intrarregional,Intermunicipal,,46.41
Andalucía,2020,Interregional,Expedido,,22.72
Andalucía,2020,Interregional,Recibido,,18.38
Andalucía,2020,Internacional,Expedido,,5.63
Andalucía,2020,Internacional,Recibido,,20.62
Andalucía,2021,Intrarregional,Intramunicipal,,46.11
Andalucía,2021,Intrarregional,Intermunicipal,,46.58
Andalucía,2021,Interregional,Expedido,,23.38
Andalucía,2021,Interregional,Recibido,,17.11
Andalucía,2021,Internacional,Expedido,,6.64
Andalucía,2021,Internacional,Recibido,,27.59
Andalucía,2022,Intrarregional,Intramunicipal,,46.16
Andalucía,2022,Intrarregional,Intermunicipal,,46.41
Andalucía,2022,Interregional,Expedido,,24.22
Andalucía,2022,Interregional,Recibido,,16.82
Andalucía,2022,Internacional,Expedido,,7.45
Andalucía,2022,Internacional,Recibido,,30.75
Andalucía,2023,Intrarregional,Intramunicipal,,45.51
Andalucía,2023,Intrarregional,Intermunicipal,,47.55
Andalucía,2023,Interregional,Expedido,,23.37
Andalucía,2023,Interregional,Recibido,,17.68
Andalucía,2023,Internacional,Expedido,,7.62
Andalucía,2023,Internacional,Recibido,,29.81
Andalucía,2024,Intrarregional,Intramunicipal,,47.65
Andalucía,2024,Intrarregional,Intermunicipal,,47.38
Andalucía,2024,Interregional,Expedido,,24.35
Andalucía,2024,Interregional,Recibido,,17.37
Andalucía,2024,Internacional,Expedido,,6.51
Andalucía,2024,Internacional,Recibido,,31.5
Aragón,2017,Intrarregional,Intramunicipal,,46.13
Aragón,2017,Intrarregional,Intermunicipal,,48.32
Aragón,2017,Interregional,Expedido,,26.88
Aragón,2017,Interregional,Recibido,,28.16
Aragón,2017,Internacional,Expedido,,13.57
Aragón,2017,Internacional,Recibido,,16.19
Aragón,2018,Intrarregional,Intramunicipal,,46.44
Aragón,2018,Intrarregional,Intermunicipal,,49.74
Aragón,2018,Interregional,Expedido,,28.23
Aragón,2018,Interregional,Recibido,,29.35
Aragón,2018,Internacional,Expedido,,15.1
Aragón,2018,Internacional,Recibido,,17.87
Aragón,2019,Intrarregional,Intramunicipal,,46.98
Aragón,2019,Intrarregional,Intermunicipal,,49.51
Aragón,2019,Interregional,Expedido,,27.06
Aragón,2019,Interregional,Recibido,,29.09
Aragón,2019,Internacional,Expedido,,11.71
Aragón,2019,Internacional,Recibido,,18.36
Aragón,2020,Intrarregional,Intramunicipal,,45.3
Aragón,2020,Intrarregional,Intermunicipal,,50.38
Aragón,2020,Interregional,Expedido,,28.22
Aragón,2020,Interregional,Recibido,,30.18
Aragón,2020,Internacional,Expedido,,11.07
