Año,Distancia(Km),Precio Medio,Índice Variación
2017,Hasta 50 Km,132.1,-0.7
2017,51 - 100 Km,130.0,-1.3
2017,101 - 200 Km,125.3,-0.3
2017,201 - 300 Km,134.6,-0.4
2017,Más de 300 Km,138.6,-0.4
2018,Hasta 50 Km,133.0,0.7
2018,51 - 100 Km,130.5,0.4
2018,101 - 200 Km,130.4,4.1
2018,201 - 300 Km,138.2,2.6
2018,Más de 300 Km,140.5,1.3
2019,Hasta 50 Km,137.8,3.6
2019,51 - 100 Km,133.4,2.3
2019,101 - 200 Km,130.1,-0.3
2019,201 - 300 Km,137.9,-0.2
2019,Más de 300 Km,142.0,1.1
2020,Hasta 50 Km,141.5,2.7
2020,51 - 100 Km,133.0,-0.3
2020,101 - 200 Km,129.8,-0.2
2020,201 - 300 Km,138.5,0.5
2020,Más de 300 Km,143.0,0.7
2021,Hasta 50 Km,140.5,-0.7
2021,51 - 100 Km,135.3,1.7
2021,101 - 200 Km,129.6,-0.2
2021,201 - 300 Km,138.1,-0.3
2021,Más de 300 Km,144.2,0.8
2022,Hasta 50 Km,157.6,12.2
2022,51 - 100 Km,153.2,13.3
2022,101 - 200 Km,149.8,15.6
2022,201 - 300 Km,157.6,14.1
2022,Más de 300 Km,162.6,12.8
2023,Hasta 50 Km,170.8,8.4
2023,51 - 100 Km,160.2,4.6
2023,101 - 200 Km,156.2,4.3
2023,201 - 300 Km,161.4,2.4
2023,Más de 300 Km,167.5,3.0
2024,Hasta 50 Km,169.3,-0.9
2024,51 - 100 Km,161.6,0.9
2024,101 - 200 Km,155.2,-0.7
2024,201 - 300 Km,159.6,-1.2
2024,Más de 300 Km,168.3,0.5
