Año,CCAA,Provincia,Tipo,Funcion,Superficie_m2
2017,Andalucía,Almería,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Almería,Almacenes transporte,Almacén paquetería,14569.0
2017,Andalucía,Almería,Almacenes transporte,Almacén transportista,28020.0
2017,Andalucía,Almería,Plataforma logística distribución,Plat. log. distribución base alimentaria,25669.0
2017,Andalucía,Almería,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,1950.0
2017,Andalucía,Almería,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,7200.0
2017,Andalucía,Almería,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Andalucía,Almería,Plataforma logística distribución,Plat. log. distribución material construcción,0.0
2017,Andalucía,Almería,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Andalucía,Almería,Plataforma logística distribución,Plat. log. distribución / varios,3500.0
2017,Andalucía,Almería,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,0.0
2017,Andalucía,Almería,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Andalucía,Almería,Plataforma logística industria,Plat. log. industria alimentación y bebidas,29500.0
2017,Andalucía,Almería,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
2017,Andalucía,Almería,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Andalucía,Almería,Plataforma logística industria,Plat. log. industria material construcción,0.0
2017,Andalucía,Almería,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Andalucía,Almería,Plataforma logística industria,Plat. log. industria / varios,11300.0
2017,Andalucía,Almería,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,36200.0
2017,Andalucía,Almería,Plataforma mixta,Plataforma mixta,0.0
2017,Andalucía,Almería,Instalaciones especializadas,Frigorífico de servicios,0.0
2017,Andalucía,Almería,Instalaciones especializadas,Almacén farmacéutico,7300.0
2017,Andalucía,Almería,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Andalucía,Almería,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Almería,Instalaciones especializadas,Plat. log. textil,0.0
2017,Andalucía,Cádiz,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Cádiz,Almacenes transporte,Almacén paquetería,42507.0
2017,Andalucía,Cádiz,Almacenes transporte,Almacén transportista,64800.0
2017,Andalucía,Cádiz,Plataforma logística distribución,Plat. log. distribución base alimentaria,106395.0
2017,Andalucía,Cádiz,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,1800.0
2017,Andalucía,Cádiz,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,13400.0
2017,Andalucía,Cádiz,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Andalucía,Cádiz,Plataforma logística distribución,Plat. log. distribución material construcción,0.0
2017,Andalucía,Cádiz,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Andalucía,Cádiz,Plataforma logística distribución,Plat. log. distribución / varios,25720.0
2017,Andalucía,Cádiz,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,0.0
2017,Andalucía,Cádiz,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Andalucía,Cádiz,Plataforma logística industria,Plat. log. industria alimentación y bebidas,3210.0
2017,Andalucía,Cádiz,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
2017,Andalucía,Cádiz,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Andalucía,Cádiz,Plataforma logística industria,Plat. log. industria material construcción,0.0
2017,Andalucía,Cádiz,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Andalucía,Cádiz,Plataforma logística industria,Plat. log. industria / varios,42580.0
2017,Andalucía,Cádiz,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,7000.0
2017,Andalucía,Cádiz,Plataforma mixta,Plataforma mixta,5007.0
2017,Andalucía,Cádiz,Instalaciones especializadas,Frigorífico de servicios,11000.0
2017,Andalucía,Cádiz,Instalaciones especializadas,Almacén farmacéutico,23765.0
2017,Andalucía,Cádiz,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Andalucía,Cádiz,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Cádiz,Instalaciones especializadas,Plat. log. textil,0.0
2017,Andalucía,Córdoba,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Córdoba,Almacenes transporte,Almacén paquetería,34420.0
2017,Andalucía,Córdoba,Almacenes transporte,Almacén transportista,12600.0
2017,Andalucía,Córdoba,Plataforma logística distribución,Plat. log. distribución base alimentaria,147278.0
2017,Andalucía,Córdoba,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,0.0
2017,Andalucía,Córdoba,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,8550.0
2017,Andalucía,Córdoba,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Andalucía,Córdoba,Plataforma logística distribución,Plat. log. distribución material construcción,2000.0
2017,Andalucía,Córdoba,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Andalucía,Córdoba,Plataforma logística distribución,Plat. log. distribución / varios,4000.0
2017,Andalucía,Córdoba,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,0.0
2017,Andalucía,Córdoba,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Andalucía,Córdoba,Plataforma logística industria,Plat. log. industria alimentación y bebidas,0.0
2017,Andalucía,Córdoba,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
2017,Andalucía,Córdoba,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Andalucía,Córdoba,Plataforma logística industria,Plat. log. industria material construcción,32465.0
2017,Andalucía,Córdoba,Plataforma logística industria,Plat. log. industria non food gran consumo,0.0
2017,Andalucía,Córdoba,Plataforma logística industria,Plat. log. industria / varios,26180.0
2017,Andalucía,Córdoba,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,4700.0
2017,Andalucía,Córdoba,Plataforma mixta,Plataforma mixta,0.0
2017,Andalucía,Córdoba,Instalaciones especializadas,Frigorífico de servicios,0.0
2017,Andalucía,Córdoba,Instalaciones especializadas,Almacén farmacéutico,6500.0
2017,Andalucía,Córdoba,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Andalucía,Córdoba,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Córdoba,Instalaciones especializadas,Plat. log. textil,0.0
2017,Andalucía,Granada,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Granada,Almacenes transporte,Almacén paquetería,45187.0
2017,Andalucía,Granada,Almacenes transporte,Almacén transportista,22584.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución base alimentaria,163555.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución droguería-perfumería,3600.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución electro / tecnológica,12400.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución sanitaria,0.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución material construcción,0.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución non food,0.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. distribución / varios,3000.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. temp. controlada dis. alimentaria,2000.0
2017,Andalucía,Granada,Plataforma logística distribución,Plat. log. e-commerce,0.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria alimentación y bebidas,40500.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria electro / tecnológica,0.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria sanitaria,0.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria material construcción,0.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria non food gran consumo,5000.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. industria / varios,29900.0
2017,Andalucía,Granada,Plataforma logística industria,Plat. log. temp. controlada ind. alimentaria,6612.0
2017,Andalucía,Granada,Plataforma mixta,Plataforma mixta,0.0
2017,Andalucía,Granada,Instalaciones especializadas,Frigorífico de servicios,1000.0
2017,Andalucía,Granada,Instalaciones especializadas,Almacén farmacéutico,35000.0
2017,Andalucía,Granada,Instalaciones especializadas,Plat. log. mercancías peligrosas,0.0
2017,Andalucía,Granada,Instalaciones especializadas,Plataforma automóvil,0.0
2017,Andalucía,Granada,Instalaciones especializadas,Plat. log. textil,0.0
2017,Andalucía,Huelva,Almacenes transporte,Almacén aduanas / fiscal,0.0
2017,Andalucía,Huelva,Almacenes transporte,Almacén paquetería,8545.0
2017,Andalucía,Huelva,Almacenes transporte,Almacén transportista,23925.0
2017,Andalucía,Huelva,Plataforma logística distribución,Plat. log. distribución base alimentaria,27320.0
