area,pais,desplazamiento,año,ton-km(millones),toneladas(miles)
UE-27,Alemania,Recibido,2017,9608.0,5532.0
UE-27,Alemania,Recibido,2018,9838.0,5646.0
UE-27,Alemania,Recibido,2019,10936.0,6287.0
UE-27,Alemania,Recibido,2020,9800.0,5780.0
UE-27,Alemania,Recibido,2021,11443.0,6830.0
UE-27,Alemania,Recibido,2022,12197.0,7108.0
UE-27,Alemania,Recibido,2023,11208.0,6442.0
UE-27,Alemania,Recibido,2024,10639.0,6225.0
UE-27,Alemania,Expedido,2017,12398.0,6911.0
UE-27,Alemania,Expedido,2018,12854.0,7160.0
UE-27,Alemania,Expedido,2019,13820.0,7508.0
UE-27,Alemania,Expedido,2020,13252.0,7162.0
UE-27,Alemania,Expedido,2021,14461.0,7928.0
UE-27,Alemania,Expedido,2022,14510.0,8050.0
UE-27,Alemania,Expedido,2023,12845.0,7126.0
UE-27,Alemania,Expedido,2024,13246.0,7197.0
UE-27,Austria,Recibido,2017,823.0,442.0
UE-27,Austria,Recibido,2018,410.0,220.0
UE-27,Austria,Recibido,2019,963.0,505.0
UE-27,Austria,Recibido,2020,719.0,352.0
UE-27,Austria,Recibido,2021,1022.0,498.0
UE-27,Austria,Recibido,2022,938.0,462.0
UE-27,Austria,Recibido,2023,804.0,406.0
UE-27,Austria,Recibido,2024,991.0,504.0
UE-27,Austria,Expedido,2017,803.0,393.0
UE-27,Austria,Expedido,2018,664.0,312.0
UE-27,Austria,Expedido,2019,938.0,464.0
UE-27,Austria,Expedido,2020,826.0,401.0
UE-27,Austria,Expedido,2021,839.0,415.0
UE-27,Austria,Expedido,2022,440.0,210.0
UE-27,Austria,Expedido,2023,947.0,479.0
UE-27,Austria,Expedido,2024,1125.0,521.0
UE-27,Bélgica,Recibido,2017,3034.0,2134.0
UE-27,Bélgica,Recibido,2018,3539.0,2348.0
UE-27,Bélgica,Recibido,2019,3563.0,2359.0
UE-27,Bélgica,Recibido,2020,3777.0,2426.0
UE-27,Bélgica,Recibido,2021,3830.0,2468.0
UE-27,Bélgica,Recibido,2022,3234.0,2148.0
UE-27,Bélgica,Recibido,2023,3516.0,2465.0
UE-27,Bélgica,Recibido,2024,3613.0,2517.0
UE-27,Bélgica,Expedido,2017,2684.0,1881.0
UE-27,Bélgica,Expedido,2018,2711.0,1824.0
UE-27,Bélgica,Expedido,2019,2188.0,1550.0
UE-27,Bélgica,Expedido,2020,2675.0,1983.0
UE-27,Bélgica,Expedido,2021,2393.0,1563.0
UE-27,Bélgica,Expedido,2022,2579.0,1730.0
UE-27,Bélgica,Expedido,2023,2839.0,1980.0
UE-27,Bélgica,Expedido,2024,2531.0,1770.0
UE-27,Bulgaria,Recibido,2017,100.0,58.0
UE-27,Bulgaria,Recibido,2018,206.0,87.0
UE-27,Bulgaria,Recibido,2019,114.0,41.0
UE-27,Bulgaria,Recibido,2020,23.0,7.0
UE-27,Bulgaria,Recibido,2021,82.0,43.0
UE-27,Bulgaria,Recibido,2022,173.0,73.0
UE-27,Bulgaria,Recibido,2023,78.0,28.0
UE-27,Bulgaria,Recibido,2024,300.0,97.0
UE-27,Bulgaria,Expedido,2017,186.0,73.0
UE-27,Bulgaria,Expedido,2018,472.0,173.0
UE-27,Bulgaria,Expedido,2019,175.0,67.0
UE-27,Bulgaria,Expedido,2020,6.0,2.0
UE-27,Bulgaria,Expedido,2021,85.0,51.0
UE-27,Bulgaria,Expedido,2022,181.0,64.0
UE-27,Bulgaria,Expedido,2023,56.0,17.0
UE-27,Bulgaria,Expedido,2024,369.0,111.0
UE-27,Croacia,Recibido,2017,37.0,21.0
UE-27,Croacia,Recibido,2018,102.0,51.0
UE-27,Croacia,Recibido,2019,78.0,40.0
UE-27,Croacia,Recibido,2020,94.0,45.0
UE-27,Croacia,Recibido,2021,87.0,42.0
UE-27,Croacia,Recibido,2022,64.0,34.0
UE-27,Croacia,Recibido,2023,87.0,43.0
UE-27,Croacia,Recibido,2024,135.0,67.0
UE-27,Croacia,Expedido,2017,206.0,100.0
UE-27,Croacia,Expedido,2018,160.0,87.0
UE-27,Croacia,Expedido,2019,316.0,154.0
UE-27,Croacia,Expedido,2020,258.0,125.0
UE-27,Croacia,Expedido,2021,257.0,145.0
UE-27,Croacia,Expedido,2022,330.0,158.0
UE-27,Croacia,Expedido,2023,226.0,107.0
UE-27,Croacia,Expedido,2024,270.0,147.0
UE-27,Dinamarca,Recibido,2017,363.0,151.0
UE-27,Dinamarca,Recibido,2018,460.0,190.0
UE-27,Dinamarca,Recibido,2019,472.0,204.0
UE-27,Dinamarca,Recibido,2020,458.0,197.0
UE-27,Dinamarca,Recibido,2021,304.0,120.0
UE-27,Dinamarca,Recibido,2022,544.0,229.0
UE-27,Dinamarca,Recibido,2023,334.0,133.0
UE-27,Dinamarca,Recibido,2024,440.0,196.0
UE-27,Dinamarca,Expedido,2017,706.0,277.0
UE-27,Dinamarca,Expedido,2018,577.0,228.0
UE-27,Dinamarca,Expedido,2019,795.0,307.0
UE-27,Dinamarca,Expedido,2020,564.0,228.0
UE-27,Dinamarca,Expedido,2021,828.0,330.0
UE-27,Dinamarca,Expedido,2022,676.0,279.0
UE-27,Dinamarca,Expedido,2023,650.0,290.0
UE-27,Dinamarca,Expedido,2024,749.0,281.0
UE-27,Eslovaquia,Recibido,2017,818.0,328.0
UE-27,Eslovaquia,Recibido,2018,803.0,336.0
UE-27,Eslovaquia,Recibido,2019,537.0,238.0
UE-27,Eslovaquia,Recibido,2020,464.0,215.0
UE-27,Eslovaquia,Recibido,2021,568.0,241.0
UE-27,Eslovaquia,Recibido,2022,540.0,225.0
UE-27,Eslovaquia,Recibido,2023,671.0,292.0
UE-27,Eslovaquia,Recibido,2024,530.0,220.0
UE-27,Eslovaquia,Expedido,2017,537.0,226.0
UE-27,Eslovaquia,Expedido,2018,559.0,231.0
UE-27,Eslovaquia,Expedido,2019,682.0,294.0
UE-27,Eslovaquia,Expedido,2020,642.0,262.0
UE-27,Eslovaquia,Expedido,2021,434.0,191.0
UE-27,Eslovaquia,Expedido,2022,341.0,146.0
UE-27,Eslovaquia,Expedido,2023,719.0,312.0
UE-27,Eslovaquia,Expedido,2024,483.0,232.0
UE-27,Eslovenia,Recibido,2017,283.0,150.0
UE-27,Eslovenia,Recibido,2018,221.0,117.0
UE-27,Eslovenia,Recibido,2019,206.0,121.0
UE-27,Eslovenia,Recibido,2020,235.0,137.0
UE-27,Eslovenia,Recibido,2021,216.0,112.0
UE-27,Eslovenia,Recibido,2022,326.0,166.0
UE-27,Eslovenia,Recibido,2023,203.0,97.0
UE-27,Eslovenia,Recibido,2024,254.0,127.0
UE-27,Eslovenia,Expedido,2017,185.0,95.0
UE-27,Eslovenia,Expedido,2018,114.0,63.0
UE-27,Eslovenia,Expedido,2019,137.0,80.0
UE-27,Eslovenia,Expedido,2020,229.0,126.0
UE-27,Eslovenia,Expedido,2021,266.0,133.0
UE-27,Eslovenia,Expedido,2022,263.0,152.0
UE-27,Eslovenia,Expedido,2023,223.0,126.0
UE-27,Eslovenia,Expedido,2024,366.0,214.0
UE-27,Estonia,Recibido,2017,11.0,5.0
UE-27,Estonia,Recibido,2018,126.0,41.0
UE-27,Estonia,Recibido,2019,33.0,10.0
UE-27,Estonia,Recibido,2020,62.0,15.0
UE-27,Estonia,Recibido,2021,18.0,5.0
UE-27,Estonia,Recibido,2022,8.0,4.0
UE-27,Estonia,Recibido,2023,17.0,5.0
UE-27,Estonia,Recibido,2024,15.0,4.0
UE-27,Estonia,Expedido,2017,49.0,13.0
UE-27,Estonia,Expedido,2018,51.0,15.0
UE-27,Estonia,Expedido,2019,93.0,23.0
UE-27,Estonia,Expedido,2020,,
UE-27,Estonia,Expedido,2021,9.0,2.0
UE-27,Estonia,Expedido,2022,30.0,9.0
UE-27,Estonia,Expedido,2023,56.0,14.0
UE-27,Estonia,Expedido,2024,18.0,5.0
UE-27,Finlandia,Recibido,2017,22.0,8.0
UE-27,Finlandia,Recibido,2018,35.0,16.0
UE-27,Finlandia,Recibido,2019,44.0,14.0
UE-27,Finlandia,Recibido,2020,22.0,8.0
UE-27,Finlandia,Recibido,2021,12.0,4.0
UE-27,Finlandia,Recibido,2022,20.0,10.0
UE-27,Finlandia,Recibido,2023,44.0,15.0
UE-27,Finlandia,Recibido,2024,1.0,1.0
UE-27,Finlandia,Expedido,2017,79.0,28.0
UE-27,Finlandia,Expedido,2018,223.0,65.0
UE-27,Finlandia,Expedido,2019,40.0,11.0
UE-27,Finlandia,Expedido,2020,287.0,79.0
UE-27,Finlandia,Expedido,2021,55.0,18.0
UE-27,Finlandia,Expedido,2022,48.0,14.0
UE-27,Finlandia,Expedido,2023,64.0,15.0
UE-27,Finlandia,Expedido,2024,47.0,20.0
UE-27,Francia,Recibido,2017,14117.0,19559.0
UE-27,Francia,Recibido,2018,14835.0,20376.0
UE-27,Francia,Recibido,2019,14915.0,20932.0
UE-27,Francia,Recibido,2020,14204.0,19908.0
UE-27,Francia,Recibido,2021,15440.0,21291.0
UE-27,Francia,Recibido,2022,15772.0,22805.0
UE-27,Francia,Recibido,2023,16525.0,23037.0
UE-27,Francia,Recibido,2024,16046.0,23214.0
UE-27,Francia,Expedido,2017,17293.0,23004.0
UE-27,Francia,Expedido,2018,17641.0,23064.0
UE-27,Francia,Expedido,2019,19798.0,26558.0
UE-27,Francia,Expedido,2020,19986.0,24911.0
UE-27,Francia,Expedido,2021,21305.0,26902.0
UE-27,Francia,Expedido,2022,21507.0,29753.0
UE-27,Francia,Expedido,2023,20707.0,26714.0
UE-27,Francia,Expedido,2024,20472.0,28759.0
UE-27,Grecia,Recibido,2017,302.0,186.0
UE-27,Grecia,Recibido,2018,572.0,306.0
UE-27,Grecia,Recibido,2019,286.0,163.0
UE-27,Grecia,Recibido,2020,280.0,167.0
UE-27,Grecia,Recibido,2021,247.0,122.0
UE-27,Grecia,Recibido,2022,1016.0,333.0
UE-27,Grecia,Recibido,2023,388.0,195.0
UE-27,Grecia,Recibido,2024,192.0,100.0
UE-27,Grecia,Expedido,2017,233.0,113.0
UE-27,Grecia,Expedido,2018,671.0,362.0
UE-27,Grecia,Expedido,2019,283.0,141.0
UE-27,Grecia,Expedido,2020,130.0,64.0
UE-27,Grecia,Expedido,2021,222.0,97.0
UE-27,Grecia,Expedido,2022,402.0,153.0
UE-27,Grecia,Expedido,2023,370.0,153.0
UE-27,Grecia,Expedido,2024,130.0,58.0
UE-27,Hungría,Recibido,2017,526.0,232.0
UE-27,Hungría,Recibido,2018,467.0,215.0
UE-27,Hungría,Recibido,2019,322.0,143.0
UE-27,Hungría,Recibido,2020,357.0,153.0
UE-27,Hungría,Recibido,2021,391.0,179.0
UE-27,Hungría,Recibido,2022,526.0,228.0
UE-27,Hungría,Recibido,2023,496.0,218.0
UE-27,Hungría,Recibido,2024,534.0,237.0
UE-27,Hungría,Expedido,2017,443.0,197.0
UE-27,Hungría,Expedido,2018,481.0,225.0
UE-27,Hungría,Expedido,2019,645.0,282.0
UE-27,Hungría,Expedido,2020,619.0,276.0
UE-27,Hungría,Expedido,2021,563.0,268.0
UE-27,Hungría,Expedido,2022,650.0,281.0
UE-27,Hungría,Expedido,2023,492.0,222.0
UE-27,Hungría,Expedido,2024,438.0,203.0
UE-27,Irlanda,Recibido,2017,64.0,34.0
UE-27,Irlanda,Recibido,2018,186.0,103.0
UE-27,Irlanda,Recibido,2019,108.0,68.0
UE-27,Irlanda,Recibido,2020,75.0,47.0
UE-27,Irlanda,Recibido,2021,34.0,20.0
UE-27,Irlanda,Recibido,2022,77.0,52.0
UE-27,Irlanda,Recibido,2023,101.0,60.0
UE-27,Irlanda,Recibido,2024,50.0,58.0
UE-27,Irlanda,Expedido,2017,84.0,49.0
UE-27,Irlanda,Expedido,2018,118.0,66.0
UE-27,Irlanda,Expedido,2019,77.0,41.0
UE-27,Irlanda,Expedido,2020,56.0,31.0
UE-27,Irlanda,Expedido,2021,55.0,31.0
UE-27,Irlanda,Expedido,2022,60.0,63.0
UE-27,Irlanda,Expedido,2023,116.0,58.0
UE-27,Irlanda,Expedido,2024,88.0,57.0
UE-27,Italia,Recibido,2017,4764.0,3533.0
UE-27,Italia,Recibido,2018,5338.0,3918.0
UE-27,Italia,Recibido,2019,4943.0,3615.0
UE-27,Italia,Recibido,2020,4389.0,3218.0
UE-27,Italia,Recibido,2021,5981.0,4364.0
UE-27,Italia,Recibido,2022,6322.0,4558.0
UE-27,Italia,Recibido,2023,5697.0,4211.0
UE-27,Italia,Recibido,2024,6313.0,4688.0
