vehiculo,year,partida,coste_partida_eur,coste_total_eur,pct_partida
furgoneta,2017,amortización del vehículo,2122.65,47321.649999999994,0.044855790108755726
furgoneta,2017,combustible,4967.69,47321.649999999994,0.1049771087863589
furgoneta,2017,consumo de disolución de urea,224.35,47321.649999999994,0.004740958947965678
furgoneta,2017,costes fiscales,438.46,47321.649999999994,0.009265526455649794
furgoneta,2017,dietas,4930.96,47321.649999999994,0.10420093128620833
furgoneta,2017,financiación del vehículo,341.4,47321.649999999994,0.007214456807824749
furgoneta,2017,mantenimiento,422.29,47321.649999999994,0.008923822394189554
furgoneta,2017,nan,2888.18,47321.649999999994,0.061032952147695614
furgoneta,2017,neumáticos,545.35,47321.649999999994,0.011524323433354503
furgoneta,2017,peajes,0.0,47321.649999999994,0.0
furgoneta,2017,personal de conducción - salarios,26130.94,47321.649999999994,0.5521984123545989
furgoneta,2017,reparaciones,750.71,47321.649999999994,0.01586398614587615
furgoneta,2017,seguros,3558.67,47321.649999999994,0.07520173113152226
furgoneta,2018,amortización del vehículo,2146.09,48585.32,0.044171572812528564
furgoneta,2018,combustible,5470.7,48585.32,0.11259985526492364
furgoneta,2018,consumo de disolución de urea,228.5,48585.32,0.004703066687633219
furgoneta,2018,costes fiscales,446.25,48585.32,0.009184873126285882
furgoneta,2018,dietas,5025.7,48585.32,0.10344071007456573
furgoneta,2018,financiación del vehículo,310.49,48585.32,0.006390613461020736
furgoneta,2018,mantenimiento,430.09,48585.32,0.008852262370609064
furgoneta,2018,nan,2965.3,48585.32,0.06103283872577149
furgoneta,2018,neumáticos,547.4,48585.32,0.011266777701577349
furgoneta,2018,peajes,0.0,48585.32,0.0
furgoneta,2018,personal de conducción - salarios,26633.67,48585.32,0.5481834842293927
furgoneta,2018,reparaciones,764.59,48585.32,0.015737058024934282
furgoneta,2018,seguros,3616.54,48585.32,0.07443688752075729
furgoneta,2019,amortización del vehículo,2164.9,49249.86,0.04395748536137971
furgoneta,2019,combustible,5461.67,49249.86,0.11089716803255888
furgoneta,2019,consumo de disolución de urea,232.21,49249.86,0.00471493726073536
furgoneta,2019,costes fiscales,454.02,49249.86,0.009218706408505526
furgoneta,2019,dietas,5103.45,49249.86,0.10362364481848273
furgoneta,2019,financiación del vehículo,326.03,49249.86,0.006619917295196371
furgoneta,2019,mantenimiento,437.08,49249.86,0.00887474603988722
furgoneta,2019,nan,3005.86,49249.86,0.06103286384976526
furgoneta,2019,neumáticos,544.54,49249.86,0.011056681176352582
furgoneta,2019,peajes,0.0,49249.86,0.0
furgoneta,2019,personal de conducción - salarios,27045.98,49249.86,0.5491585153744599
furgoneta,2019,reparaciones,777.01,49249.86,0.015776897639912073
furgoneta,2019,seguros,3697.11,49249.86,0.07506843674276435
furgoneta,2020,amortización del vehículo,2183.97,49149.35,0.0444353791047084
furgoneta,2020,combustible,4887.26,49149.35,0.0994369203254977
furgoneta,2020,consumo de disolución de urea,235.93,49149.35,0.00480026694147532
furgoneta,2020,costes fiscales,453.45,49149.35,0.009225961279243775
furgoneta,2020,dietas,5174.01,49149.35,0.10527117856085585
furgoneta,2020,financiación del vehículo,306.87,49149.35,0.00624362275391231
furgoneta,2020,mantenimiento,444.09,49149.35,0.009035521324290148
furgoneta,2020,nan,2999.73,49149.35,0.06103295364028212
furgoneta,2020,neumáticos,552.06,49149.35,0.011232295035437904
furgoneta,2020,peajes,0.0,49149.35,0.0
furgoneta,2020,personal de conducción - salarios,27418.48,49149.35,0.5578604803522326
furgoneta,2020,reparaciones,789.46,49149.35,0.01606247081599248
furgoneta,2020,seguros,3704.04,49149.35,0.07536294986607148
furgoneta,2021,amortización del vehículo,2206.19,50614.43,0.04358816250622599
furgoneta,2021,combustible,5542.93,50614.43,0.10951284050813177
furgoneta,2021,consumo de disolución de urea,241.12,50614.43,0.004763858844207077
furgoneta,2021,costes fiscales,456.8,50614.43,0.009025094227081091
furgoneta,2021,dietas,5270.18,50614.43,0.10412406106321853
furgoneta,2021,financiación del vehículo,317.64,50614.43,0.0062756806705123415
furgoneta,2021,mantenimiento,453.85,50614.43,0.008966810453066448
furgoneta,2021,nan,3089.14,50614.43,0.061032792426981786
furgoneta,2021,neumáticos,562.71,50614.43,0.011117580500264452
furgoneta,2021,peajes,0.0,50614.43,0.0
furgoneta,2021,personal de conducción - salarios,27931.11,50614.43,0.5518408485485266
furgoneta,2021,reparaciones,806.83,50614.43,0.015940710979062692
furgoneta,2021,seguros,3735.93,50614.43,0.07381155927272123
furgoneta,2022,amortización del vehículo,2279.01,54248.75,0.042010368902509275
furgoneta,2022,combustible,8161.44,54248.75,0.15044475679163113
furgoneta,2022,consumo de disolución de urea,250.38,54248.75,0.004615405884928224
furgoneta,2022,costes fiscales,483.72,54248.75,0.008916703149842163
furgoneta,2022,dietas,5346.06,54248.75,0.09854715546441163
furgoneta,2022,financiación del vehículo,389.92,54248.75,0.007187631051406715
furgoneta,2022,mantenimiento,471.29,54248.75,0.008687573446392774
furgoneta,2022,nan,3310.96,54248.75,0.06103292702596834
furgoneta,2022,neumáticos,613.39,54248.75,0.011306988640291251
furgoneta,2022,peajes,0.0,54248.75,0.0
furgoneta,2022,personal de conducción - salarios,28332.93,54248.75,0.522278024839282
furgoneta,2022,reparaciones,837.84,54248.75,0.015444411161547501
furgoneta,2022,seguros,3771.81,54248.75,0.06952805364178898
furgoneta,2023,amortización del vehículo,2361.34,55210.47,0.042769786238008846
furgoneta,2023,combustible,7194.27,55210.47,0.13030626256215533
furgoneta,2023,consumo de disolución de urea,266.22,55210.47,0.004821911496134701
furgoneta,2023,costes fiscales,514.2,55210.47,0.009313450872633399
furgoneta,2023,dietas,5538.61,55210.47,0.10031810995269556
furgoneta,2023,financiación del vehículo,651.28,55210.47,0.011796313271739942
furgoneta,2023,mantenimiento,501.06,55210.47,0.00907545253644825
furgoneta,2023,nan,3369.65,55210.47,0.061032807726505496
furgoneta,2023,neumáticos,674.86,55210.47,0.012223406176400962
furgoneta,2023,peajes,0.0,55210.47,0.0
furgoneta,2023,personal de conducción - salarios,29353.8,55210.47,0.5316708950313228
furgoneta,2023,reparaciones,890.79,55210.47,0.016134439717683982
furgoneta,2023,seguros,3894.39,55210.47,0.07053716441827067
furgoneta,2024,amortización del vehículo,2416.11,57211.88,0.04223091427864283
furgoneta,2024,combustible,6714.19,57211.88,0.11735656999909809
furgoneta,2024,consumo de disolución de urea,277.65,57211.88,0.004853013045542289
furgoneta,2024,costes fiscales,529.96,57211.88,0.009263111088116664
furgoneta,2024,dietas,5834.09,57211.88,0.10197340132853527
furgoneta,2024,financiación del vehículo,669.12,57211.88,0.011695473038117259
furgoneta,2024,mantenimiento,522.6,57211.88,0.009134466477941295
furgoneta,2024,nan,3491.81,57211.88,0.06103295329571411
furgoneta,2024,neumáticos,693.46,57211.88,0.012120909153833086
furgoneta,2024,peajes,0.0,57211.88,0.0
furgoneta,2024,personal de conducción - salarios,30916.01,57211.88,0.5403774530744314
furgoneta,2024,reparaciones,929.05,57211.88,0.016238760201552543
furgoneta,2024,seguros,4217.83,57211.88,0.07372297501847519
portavehículos (tren de carretera),2017,amortización del vehículo,17823.58,149371.84,0.11932356192438952
portavehículos (tren de carretera),2017,combustible,41352.32,149371.84,0.2768414715919681
portavehículos (tren de carretera),2017,consumo de disolución de urea,1950.84,149371.84,0.013060293024441555
portavehículos (tren de carretera),2017,costes fiscales,803.5,149371.84,0.00537919329372926
portavehículos (tren de carretera),2017,dietas,17054.91,149371.84,0.11417754511158194
portavehículos (tren de carretera),2017,financiación del vehículo,2863.35,149371.84,0.019169275815307623
portavehículos (tren de carretera),2017,mantenimiento,5982.22,149371.84,0.040049181960937215
portavehículos (tren de carretera),2017,nan,9116.59,149371.84,0.06103285599213346
portavehículos (tren de carretera),2017,neumáticos,5126.31,149371.84,0.034319119319946786
portavehículos (tren de carretera),2017,peajes,1888.49,149371.84,0.012642878336371836
portavehículos (tren de carretera),2017,personal de conducción - salarios,29034.38,149371.84,0.19437653040894456
portavehículos (tren de carretera),2017,reparaciones,4897.13,149371.84,0.03278482744806518
portavehículos (tren de carretera),2017,seguros,11478.22,149371.84,0.07684326577218303
portavehículos (tren de carretera),2018,amortización del vehículo,18020.75,155425.71,0.11594445989662844
portavehículos (tren de carretera),2018,combustible,45721.29,155425.71,0.2941681270106471
portavehículos (tren de carretera),2018,consumo de disolución de urea,1986.9,155425.71,0.012783599315711668
portavehículos (tren de carretera),2018,costes fiscales,817.77,155425.71,0.0052614847311940865
portavehículos (tren de carretera),2018,dietas,17382.97,155425.71,0.11184102038202047
portavehículos (tren de carretera),2018,financiación del vehículo,2604.1,155425.71,0.016754628304416302
portavehículos (tren de carretera),2018,mantenimiento,6092.78,155425.71,0.03920059300356421
portavehículos (tren de carretera),2018,nan,9486.08,155425.71,0.06103288831686856
portavehículos (tren de carretera),2018,neumáticos,5145.53,155425.71,0.033106041465083225
portavehículos (tren de carretera),2018,peajes,1922.05,155425.71,0.012366358178450656
portavehículos (tren de carretera),2018,personal de conducción - salarios,29592.97,155425.71,0.19039945193108657
portavehículos (tren de carretera),2018,reparaciones,4987.63,155425.71,0.032090122026786946
portavehículos (tren de carretera),2018,seguros,11664.89,155425.71,0.07505122543754184
portavehículos (tren de carretera),2019,amortización del vehículo,18179.34,156309.87,0.11630321233073766
portavehículos (tren de carretera),2019,combustible,45042.77,156309.87,0.2881633130396692
portavehículos (tren de carretera),2019,consumo de disolución de urea,2019.17,156309.87,0.012917738336037259
portavehículos (tren de carretera),2019,costes fiscales,832.01,156309.87,0.00532282446399578
portavehículos (tren de carretera),2019,dietas,17651.69,156309.87,0.11292754577813928
portavehículos (tren de carretera),2019,financiación del vehículo,2734.41,156309.87,0.017493521042529176
portavehículos (tren de carretera),2019,mantenimiento,6191.79,156309.87,0.03961227784272356
portavehículos (tren de carretera),2019,nan,9540.04,156309.87,0.06103287015720761
portavehículos (tren de carretera),2019,neumáticos,5118.61,156309.87,0.032746556567413175
portavehículos (tren de carretera),2019,peajes,1955.51,156309.87,0.01251047038808234
portavehículos (tren de carretera),2019,personal de conducción - salarios,30051.09,156309.87,0.19225331068345206
portavehículos (tren de carretera),2019,reparaciones,5068.66,156309.87,0.032426999011642706
portavehículos (tren de carretera),2019,seguros,11924.78,156309.87,0.07628936035837021
portavehículos (tren de carretera),2020,amortización del vehículo,18339.18,152012.09,0.12064290412690201
portavehículos (tren de carretera),2020,combustible,40047.94,152012.09,0.2634523346136482
portavehículos (tren de carretera),2020,consumo de disolución de urea,2051.52,152012.09,0.013495768658927064
portavehículos (tren de carretera),2020,costes fiscales,830.97,152012.09,0.0054664730943440095
portavehículos (tren de carretera),2020,dietas,17895.78,152012.09,0.11772603087030775
