Año,Vehículo,Categoría Costes,Subcategoría Costes,Tipo Costes,Costes Unitarios,Costes Anuales
2017,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1301,15616.61
2018,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1316,15791.76
2019,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1328,15935.36
2020,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1339,16073.84
2021,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1353,16234.0
2022,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1396,16748.16
2023,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1444,17326.69
2024,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Amortización Vehículo,0.1477,17726.6
2017,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0226,2710.22
2018,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0205,2464.83
2019,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0216,2588.17
2020,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0203,2436.11
2021,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.021,2521.56
2022,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0258,3095.43
2023,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0431,5170.22
2024,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Financiación Vehículo,0.0443,5311.86
2017,Articulado De Carga General,Costes Directos,Por Tiempo(Vehiculo-Km),Salarios,0.242,29034.38
