vehiculo,year,partida,coste_partida_eur_km,coste_total_eur_km,pct_partida
furgoneta,2017,amortización del vehículo,0.0425,0.9464999999999999,0.04490227152667724
furgoneta,2017,combustible,0.0994,0.9464999999999999,0.10501848917062864
furgoneta,2017,consumo de disolución de urea,0.0045,0.9464999999999999,0.004754358161648178
furgoneta,2017,costes fiscales,0.0088,0.9464999999999999,0.009297411516111994
furgoneta,2017,dietas,0.0986,0.9464999999999999,0.10417326994189119
furgoneta,2017,financiación del vehículo,0.0068,0.9464999999999999,0.007184363444268357
furgoneta,2017,mantenimiento,0.0084,0.9464999999999999,0.008874801901743265
furgoneta,2017,nan,0.0578,0.9464999999999999,0.06106708927628104
furgoneta,2017,neumáticos,0.0109,0.9464999999999999,0.011516111991547808
furgoneta,2017,peajes,0.0,0.9464999999999999,0.0
furgoneta,2017,personal de conducción - salarios,0.5226,0.9464999999999999,0.5521394611727417
furgoneta,2017,reparaciones,0.015,0.9464999999999999,0.01584786053882726
furgoneta,2017,seguros,0.0712,0.9464999999999999,0.07522451135763339
furgoneta,2018,amortización del vehículo,0.0429,0.9715999999999999,0.044153972828324416
furgoneta,2018,combustible,0.1094,0.9715999999999999,0.11259777686290655
furgoneta,2018,consumo de disolución de urea,0.0046,0.9715999999999999,0.004734458624948539
furgoneta,2018,costes fiscales,0.0089,0.9715999999999999,0.009160148209139565
furgoneta,2018,dietas,0.1005,0.9715999999999999,0.103437628653767
furgoneta,2018,financiación del vehículo,0.0062,0.9715999999999999,0.006381226842321943
furgoneta,2018,mantenimiento,0.0086,0.9715999999999999,0.00885137916838205
furgoneta,2018,nan,0.0593,0.9715999999999999,0.061033347056401815
furgoneta,2018,neumáticos,0.0109,0.9715999999999999,0.01121860848085632
furgoneta,2018,peajes,0.0,0.9715999999999999,0.0
furgoneta,2018,personal de conducción - salarios,0.5327,0.9715999999999999,0.5482708933717579
furgoneta,2018,reparaciones,0.0153,0.9715999999999999,0.015747221078633182
furgoneta,2018,seguros,0.0723,0.9715999999999999,0.07441333882256074
furgoneta,2019,amortización del vehículo,0.0433,0.9848000000000001,0.04396831844029244
furgoneta,2019,combustible,0.1092,0.9848000000000001,0.1108854589764419
furgoneta,2019,consumo de disolución de urea,0.0046,0.9848000000000001,0.004670999187652314
furgoneta,2019,costes fiscales,0.0091,0.9848000000000001,0.009240454914703492
furgoneta,2019,dietas,0.1021,0.9848000000000001,0.10367587327376115
furgoneta,2019,financiación del vehículo,0.0065,0.9848000000000001,0.006600324939073922
furgoneta,2019,mantenimiento,0.0087,0.9848000000000001,0.008834281072298942
furgoneta,2019,nan,0.0601,0.9848000000000001,0.061027619821283505
furgoneta,2019,neumáticos,0.0109,0.9848000000000001,0.011068237205523962
furgoneta,2019,peajes,0.0,0.9848000000000001,0.0
furgoneta,2019,personal de conducción - salarios,0.5409,0.9848000000000001,0.5492485783915516
furgoneta,2019,reparaciones,0.0155,0.9848000000000001,0.015739236393176276
furgoneta,2019,seguros,0.0739,0.9848000000000001,0.07504061738424044
furgoneta,2020,amortización del vehículo,0.0437,0.983,0.04445574771108851
furgoneta,2020,combustible,0.0977,0.983,0.09938962360122075
furgoneta,2020,consumo de disolución de urea,0.0047,0.983,0.004781281790437437
furgoneta,2020,costes fiscales,0.0091,0.983,0.00925737538148525
furgoneta,2020,dietas,0.1035,0.983,0.10528992878942015
furgoneta,2020,financiación del vehículo,0.0061,0.983,0.006205493387589014
furgoneta,2020,mantenimiento,0.0089,0.983,0.009053916581892167
furgoneta,2020,nan,0.06,0.983,0.06103763987792472
furgoneta,2020,neumáticos,0.011,0.983,0.011190233977619531
furgoneta,2020,peajes,0.0,0.983,0.0
furgoneta,2020,personal de conducción - salarios,0.5484,0.983,0.5578840284842319
furgoneta,2020,reparaciones,0.0158,0.983,0.016073245167853512
furgoneta,2020,seguros,0.0741,0.983,0.07538148524923703
furgoneta,2021,amortización del vehículo,0.0441,1.0123,0.04356416082189075
furgoneta,2021,combustible,0.1109,1.0123,0.10955250419836017
furgoneta,2021,consumo de disolución de urea,0.0048,1.0123,0.004741677368369061
furgoneta,2021,costes fiscales,0.0091,1.0123,0.008989430010866344
furgoneta,2021,dietas,0.1054,1.0123,0.10411933221377062
furgoneta,2021,financiación del vehículo,0.0064,1.0123,0.0063222364911587475
furgoneta,2021,mantenimiento,0.0091,1.0123,0.008989430010866344
furgoneta,2021,nan,0.0618,1.0123,0.06104909611775166
furgoneta,2021,neumáticos,0.0113,1.0123,0.011162698804702163
furgoneta,2021,peajes,0.0,1.0123,0.0
furgoneta,2021,personal de conducción - salarios,0.5586,1.0123,0.5518127037439494
furgoneta,2021,reparaciones,0.0161,1.0123,0.015904376173071225
furgoneta,2021,seguros,0.0747,1.0123,0.07379235404524351
furgoneta,2022,amortización del vehículo,0.0456,1.085,0.04202764976958526
furgoneta,2022,combustible,0.1632,1.085,0.15041474654377882
furgoneta,2022,consumo de disolución de urea,0.005,1.085,0.004608294930875576
furgoneta,2022,costes fiscales,0.0097,1.085,0.008940092165898618
furgoneta,2022,dietas,0.1069,1.085,0.09852534562211981
furgoneta,2022,financiación del vehículo,0.0078,1.085,0.007188940092165899
furgoneta,2022,mantenimiento,0.0094,1.085,0.008663594470046084
furgoneta,2022,nan,0.0662,1.085,0.06101382488479262
furgoneta,2022,neumáticos,0.0123,1.085,0.011336405529953918
furgoneta,2022,peajes,0.0,1.085,0.0
furgoneta,2022,personal de conducción - salarios,0.5667,1.085,0.5223041474654377
furgoneta,2022,reparaciones,0.0168,1.085,0.015483870967741935
furgoneta,2022,seguros,0.0754,1.085,0.06949308755760368
furgoneta,2023,amortización del vehículo,0.0472,1.1041999999999998,0.04274587936967941
furgoneta,2023,combustible,0.1439,1.1041999999999998,0.1303205940952726
furgoneta,2023,consumo de disolución de urea,0.0053,1.1041999999999998,0.004799855098714002
furgoneta,2023,costes fiscales,0.0103,1.1041999999999998,0.00932802028618004
furgoneta,2023,dietas,0.1108,1.1041999999999998,0.10034414055424742
furgoneta,2023,financiación del vehículo,0.013,1.1041999999999998,0.011773229487411703
furgoneta,2023,mantenimiento,0.01,1.1041999999999998,0.00905633037493208
furgoneta,2023,nan,0.0674,1.1041999999999998,0.06103966672704221
furgoneta,2023,neumáticos,0.0135,1.1041999999999998,0.012226046006158306
furgoneta,2023,peajes,0.0,1.1041999999999998,0.0
furgoneta,2023,personal de conducción - salarios,0.5871,1.1041999999999998,0.5316971563122623
furgoneta,2023,reparaciones,0.0178,1.1041999999999998,0.0161202680673791
furgoneta,2023,seguros,0.0779,1.1041999999999998,0.0705488136207209
furgoneta,2024,amortización del vehículo,0.0483,1.1444,0.04220552254456484
furgoneta,2024,combustible,0.1343,1.1444,0.11735407200279623
furgoneta,2024,consumo de disolución de urea,0.0056,1.1444,0.004893393918210416
furgoneta,2024,costes fiscales,0.0106,1.1444,0.009262495630898288
furgoneta,2024,dietas,0.1167,1.1444,0.10197483397413491
furgoneta,2024,financiación del vehículo,0.0134,1.1444,0.011709192590003494
furgoneta,2024,mantenimiento,0.0105,1.1444,0.00917511359664453
furgoneta,2024,nan,0.0698,1.1444,0.06099265990912268
furgoneta,2024,neumáticos,0.0139,1.1444,0.01214610276127228
furgoneta,2024,peajes,0.0,1.1444,0.0
furgoneta,2024,personal de conducción - salarios,0.6183,1.1444,0.5402831177909821
furgoneta,2024,reparaciones,0.0186,1.1444,0.016253058371198878
furgoneta,2024,seguros,0.0844,1.1444,0.07375043691017126
