País,Indicador,Año,Puntuación
Alemania,Índice global de desempeño logístico (LPI),2017,4.225967
Alemania,Índice global de desempeño logístico (LPI),2018,4.201444
Alemania,Índice global de desempeño logístico (LPI),2019,4.201444
Alemania,Índice global de desempeño logístico (LPI),2020,4.201444
Alemania,Índice global de desempeño logístico (LPI),2021,4.201444
Alemania,Índice global de desempeño logístico (LPI),2022,4.201444
Alemania,Índice global de desempeño logístico (LPI),2023,4.1
Alemania,Índice global de desempeño logístico (LPI),2024,4.1
España,Índice global de desempeño logístico (LPI),2017,3.727412
España,Índice global de desempeño logístico (LPI),2018,3.831336
España,Índice global de desempeño logístico (LPI),2019,3.831336
España,Índice global de desempeño logístico (LPI),2020,3.831336
España,Índice global de desempeño logístico (LPI),2021,3.831336
España,Índice global de desempeño logístico (LPI),2022,3.831336
España,Índice global de desempeño logístico (LPI),2023,3.9
España,Índice global de desempeño logístico (LPI),2024,3.9
Francia,Índice global de desempeño logístico (LPI),2017,3.900953
Francia,Índice global de desempeño logístico (LPI),2018,3.844475
Francia,Índice global de desempeño logístico (LPI),2019,3.844475
Francia,Índice global de desempeño logístico (LPI),2020,3.844475
Francia,Índice global de desempeño logístico (LPI),2021,3.844475
Francia,Índice global de desempeño logístico (LPI),2022,3.844475
Francia,Índice global de desempeño logístico (LPI),2023,3.9
Francia,Índice global de desempeño logístico (LPI),2024,3.9
Italia,Índice global de desempeño logístico (LPI),2017,3.755414
Italia,Índice global de desempeño logístico (LPI),2018,3.739152
Italia,Índice global de desempeño logístico (LPI),2019,3.739152
Italia,Índice global de desempeño logístico (LPI),2020,3.739152
Italia,Índice global de desempeño logístico (LPI),2021,3.739152
Italia,Índice global de desempeño logístico (LPI),2022,3.739152
Italia,Índice global de desempeño logístico (LPI),2023,3.7
Italia,Índice global de desempeño logístico (LPI),2024,3.7
