CCAA,Toneladas(miles),Cuota_Mercado_%
Cataluña,2236754.23,15.275881703784869
Comunitat Valenciana,2065530.92,14.106514504917211
Andalucía,2065352.31,14.105294690422387
"Madrid, Comunidad de",1226661.73,8.377469114271037
Castilla y León,1186999.29,8.106595035484355
Castilla - La Mancha,1107804.6,7.565736008693596
Galicia,875276.21,5.977686624112102
Aragón,855281.12,5.841130436847607
País Vasco,805982.34,5.504445108920042
"Murcia, Región de",699248.74,4.775509481772891
"Navarra, Comunidad Foral de",402207.95,2.746873564433505
"Asturias, Principado de",358418.63,2.447815016454731
Extremadura,329672.71,2.2514951581990195
Cantabria,270170.02,1.8451223697603973
"Rioja, La",157029.56,1.0724311819262273
