Año,CCAA,Toneladas(miles),Superficie_m2,Saturacion_Ton_por_m2
2017,Andalucía,233184.62,3105206.0,75.09473445562065
2017,Aragón,94869.55,1032102.0,91.91877353207337
2017,"Asturias, Principado de",44925.45,366201.0,122.6797578379087
2017,Cantabria,27796.100000000002,295891.0,93.94033613729381
2017,Castilla - La Mancha,116853.26,3125953.0,37.38164329406104
2017,Castilla y León,142785.13,1059933.0,134.71146761163206
2017,Cataluña,256038.13,6997023.0,36.592437955399035
2017,Comunitat Valenciana,239088.7,3252646.0,73.50590872784804
2017,Extremadura,33758.48,274653.0,122.9132032054993
2017,Galicia,109167.84999999999,1432365.0,76.21510578658372
2017,"Madrid, Comunidad de",133518.82,4166061.0,32.049175468146046
2017,"Murcia, Región de",73671.95,882237.0,83.50584933526932
2017,"Navarra, Comunidad Foral de",44823.76,548990.0,81.64768028561541
2017,País Vasco,97156.9,1293481.0,75.11273841672201
2017,"Rioja, La",17595.81,410989.0,42.813335636720204
2018,Andalucía,234007.96000000002,3005287.0,77.86542849318552
2018,Aragón,101559.53,1063793.0,95.46925952699445
2018,"Asturias, Principado de",43318.56,370076.0,117.05314584031389
2018,Cantabria,32009.84,311891.0,102.63149625991132
2018,Castilla - La Mancha,126897.24,3188062.0,39.80388085300725
2018,Castilla y León,141130.44,1040569.0,135.62814191081995
2018,Cataluña,274676.64,7259840.0,37.83508176488738
2018,Comunitat Valenciana,250947.51,3250371.0,77.20580512193838
2018,Extremadura,36110.88,272126.0,132.69911732065293
2018,Galicia,106128.81999999999,1372948.0,77.29995600707382
2018,"Madrid, Comunidad de",141442.27,4306595.0,32.843178891908806
2018,"Murcia, Región de",80181.07,854607.0,93.82215451078683
2018,"Navarra, Comunidad Foral de",45641.93,507928.0,89.85905482666834
2018,País Vasco,95738.47,1301386.0,73.56654366959533
2018,"Rioja, La",18136.79,417909.0,43.398897846181825
2019,Andalucía,256804.66,3096188.0,82.94220505989946
2019,Aragón,101733.5,1108829.0,91.74859243400019
2019,"Asturias, Principado de",44696.69,392703.0,113.81805079156513
2019,Cantabria,38600.0,342891.0,112.57221682692168
2019,Castilla - La Mancha,133763.36000000002,3653710.0,36.61028379373295
2019,Castilla y León,146370.03,1145476.0,127.78096616603054
2019,Cataluña,272639.19,8038970.0,33.914691807532556
2019,Comunitat Valenciana,249990.41,3466638.0,72.11321459004373
2019,Extremadura,36571.46,276776.0,132.1337832760066
2019,Galicia,115650.56999999999,1394968.0,82.90553618434257
2019,"Madrid, Comunidad de",156049.26,4537303.0,34.39251467226236
2019,"Murcia, Región de",82189.14,895507.0,91.77945007688382
2019,"Navarra, Comunidad Foral de",54274.979999999996,512378.0,105.92761593979444
2019,País Vasco,102051.06,1328166.0,76.83607320169317
2019,"Rioja, La",18247.17,420909.0,43.35181713862141
2020,Andalucía,257857.7,3342452.0,77.14626866743338
2020,Aragón,100514.94,1094979.0,91.79622622899618
2020,"Asturias, Principado de",40694.99,397142.0,102.46962043802972
2020,Cantabria,29372.01,303889.0,96.65374528199442
2020,Castilla - La Mancha,136038.41,3886764.0,35.000429663339474
2020,Castilla y León,142960.02,1172271.0,121.95134060298344
2020,Cataluña,258108.91,8292121.0,31.127007191525546
2020,Comunitat Valenciana,232989.49,3596264.0,64.7865368059742
2020,Extremadura,39734.56,265303.0,149.7704888372917
2020,Galicia,109311.41,1409860.0,77.53352105882854
2020,"Madrid, Comunidad de",145514.65,4691621.0,31.015857845294835
2020,"Murcia, Región de",89029.98,926007.0,96.14396003485935
