País,Indicador,Año,Puntuación
Alemania,Aduanas,2017,4.123067
Alemania,Competencia logística,2017,4.27905
Alemania,Infraestructura,2017,4.439356
Alemania,Puntualidad,2017,4.453368
Alemania,Transporte internacional,2017,3.857241
Alemania,Trazabilidad,2017,4.26539
Alemania,Índice global de desempeño logístico (LPI),2017,4.225967
Alemania,Aduanas,2018,4.092256
Alemania,Competencia logística,2018,4.31065
Alemania,Infraestructura,2018,4.374447
Alemania,Puntualidad,2018,4.392114
Alemania,Transporte internacional,2018,3.858998
Alemania,Trazabilidad,2018,4.239401
Alemania,Índice global de desempeño logístico (LPI),2018,4.201444
Alemania,Aduanas,2019,4.092256
Alemania,Competencia logística,2019,4.31065
Alemania,Infraestructura,2019,4.374447
Alemania,Puntualidad,2019,4.392114
Alemania,Transporte internacional,2019,3.858998
Alemania,Trazabilidad,2019,4.239401
Alemania,Índice global de desempeño logístico (LPI),2019,4.201444
Alemania,Aduanas,2020,4.092256
Alemania,Competencia logística,2020,4.31065
Alemania,Infraestructura,2020,4.374447
Alemania,Puntualidad,2020,4.392114
Alemania,Transporte internacional,2020,3.858998
Alemania,Trazabilidad,2020,4.239401
Alemania,Índice global de desempeño logístico (LPI),2020,4.201444
Alemania,Aduanas,2021,4.092256
Alemania,Competencia logística,2021,4.31065
Alemania,Infraestructura,2021,4.374447
Alemania,Puntualidad,2021,4.392114
Alemania,Transporte internacional,2021,3.858998
Alemania,Trazabilidad,2021,4.239401
Alemania,Índice global de desempeño logístico (LPI),2021,4.201444
Alemania,Aduanas,2022,4.092256
Alemania,Competencia logística,2022,4.31065
Alemania,Infraestructura,2022,4.374447
Alemania,Puntualidad,2022,4.392114
Alemania,Transporte internacional,2022,3.858998
Alemania,Trazabilidad,2022,4.239401
Alemania,Índice global de desempeño logístico (LPI),2022,4.201444
Alemania,Aduanas,2023,3.9
Alemania,Competencia logística,2023,4.2
Alemania,Infraestructura,2023,4.3
Alemania,Puntualidad,2023,4.1
Alemania,Transporte internacional,2023,3.7
Alemania,Trazabilidad,2023,4.2
Alemania,Índice global de desempeño logístico (LPI),2023,4.1
Alemania,Aduanas,2024,3.9
Alemania,Competencia logística,2024,4.2
Alemania,Infraestructura,2024,4.3
Alemania,Puntualidad,2024,4.1
Alemania,Transporte internacional,2024,3.7
Alemania,Trazabilidad,2024,4.2
Alemania,Índice global de desempeño logístico (LPI),2024,4.1
España,Aduanas,2017,3.477058
España,Competencia logística,2017,3.728878
España,Infraestructura,2017,3.716888
España,Puntualidad,2017,3.999192
España,Transporte internacional,2017,3.631566
España,Trazabilidad,2017,3.823157
España,Índice global de desempeño logístico (LPI),2017,3.727412
España,Aduanas,2018,3.620888
España,Competencia logística,2018,3.800271
España,Infraestructura,2018,3.83987
España,Puntualidad,2018,4.063369
España,Transporte internacional,2018,3.82952
España,Trazabilidad,2018,3.834502
España,Índice global de desempeño logístico (LPI),2018,3.831336
España,Aduanas,2019,3.620888
España,Competencia logística,2019,3.800271
España,Infraestructura,2019,3.83987
España,Puntualidad,2019,4.063369
España,Transporte internacional,2019,3.82952
España,Trazabilidad,2019,3.834502
España,Índice global de desempeño logístico (LPI),2019,3.831336
España,Aduanas,2020,3.620888
España,Competencia logística,2020,3.800271
España,Infraestructura,2020,3.83987
España,Puntualidad,2020,4.063369
España,Transporte internacional,2020,3.82952
España,Trazabilidad,2020,3.834502
España,Índice global de desempeño logístico (LPI),2020,3.831336
España,Aduanas,2021,3.620888
España,Competencia logística,2021,3.800271
España,Infraestructura,2021,3.83987
España,Puntualidad,2021,4.063369
España,Transporte internacional,2021,3.82952
España,Trazabilidad,2021,3.834502
España,Índice global de desempeño logístico (LPI),2021,3.831336
España,Aduanas,2022,3.620888
España,Competencia logística,2022,3.800271
España,Infraestructura,2022,3.83987
España,Puntualidad,2022,4.063369
España,Transporte internacional,2022,3.82952
España,Trazabilidad,2022,3.834502
España,Índice global de desempeño logístico (LPI),2022,3.831336
España,Aduanas,2023,3.6
España,Competencia logística,2023,3.9
España,Infraestructura,2023,3.8
España,Puntualidad,2023,4.2
España,Transporte internacional,2023,3.7
España,Trazabilidad,2023,4.1
España,Índice global de desempeño logístico (LPI),2023,3.9
España,Aduanas,2024,3.6
España,Competencia logística,2024,3.9
España,Infraestructura,2024,3.8
España,Puntualidad,2024,4.2
España,Transporte internacional,2024,3.7
España,Trazabilidad,2024,4.1
España,Índice global de desempeño logístico (LPI),2024,3.9
Francia,Aduanas,2017,3.713518
Francia,Competencia logística,2017,3.815154
Francia,Infraestructura,2017,4.011015
Francia,Puntualidad,2017,4.24684
Francia,Transporte internacional,2017,3.641893
Francia,Trazabilidad,2017,4.020638
Francia,Índice global de desempeño logístico (LPI),2017,3.900953
Francia,Aduanas,2018,3.589643
Francia,Competencia logística,2018,3.838338
Francia,Infraestructura,2018,3.99688
Francia,Puntualidad,2018,4.152037
Francia,Transporte internacional,2018,3.545295
Francia,Trazabilidad,2018,3.999365
Francia,Índice global de desempeño logístico (LPI),2018,3.844475
Francia,Aduanas,2019,3.589643
Francia,Competencia logística,2019,3.838338
Francia,Infraestructura,2019,3.99688
Francia,Puntualidad,2019,4.152037
Francia,Transporte internacional,2019,3.545295
Francia,Trazabilidad,2019,3.999365
Francia,Índice global de desempeño logístico (LPI),2019,3.844475
Francia,Aduanas,2020,3.589643
Francia,Competencia logística,2020,3.838338
Francia,Infraestructura,2020,3.99688
Francia,Puntualidad,2020,4.152037
Francia,Transporte internacional,2020,3.545295
Francia,Trazabilidad,2020,3.999365
Francia,Índice global de desempeño logístico (LPI),2020,3.844475
Francia,Aduanas,2021,3.589643
Francia,Competencia logística,2021,3.838338
Francia,Infraestructura,2021,3.99688
Francia,Puntualidad,2021,4.152037
Francia,Transporte internacional,2021,3.545295
Francia,Trazabilidad,2021,3.999365
Francia,Índice global de desempeño logístico (LPI),2021,3.844475
Francia,Aduanas,2022,3.589643
Francia,Competencia logística,2022,3.838338
Francia,Infraestructura,2022,3.99688
Francia,Puntualidad,2022,4.152037
